HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,SOFTWARE,LANGUAGE,Defective
238.08,40.75,395438.84,3.23,1287,0.02,21968.82,9702.9,1,1,0
90.69,22.53,46024.85,0.68,327,0.04,2556.94,2043.07,1,1,0
47.03,16.63,12999.77,0.26,149,0.06,722.21,781.94,1,1,0
20.33,9.78,1943.91,0.07,46,0.1,107.99,198.81,1,1,0
58.1,12.43,8983.13,0.24,142,0.08,499.06,722.42,1,1,0
20.33,9.78,1943.91,0.07,46,0.1,107.99,198.81,1,1,0
163.29,25.13,103097.32,1.37,590,0.04,5727.63,4102.97,1,1,0
32.14,12.08,4693.39,0.13,77,0.08,260.74,388.42,1,1,0
46.09,20.67,19687.59,0.32,179,0.05,1093.75,952.63,1,1,0
28.67,7.0,1404.72,0.07,45,0.14,78.04,200.67,1,1,0
42.78,14.62,9144.94,0.21,116,0.07,508.05,625.51,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
28.67,7.0,1404.72,0.07,45,0.14,78.04,200.67,1,1,0
21.05,11.25,2664.41,0.08,51,0.09,148.02,236.84,1,1,0
24.11,11.64,3264.45,0.09,59,0.09,181.36,280.54,1,1,0
38.97,10.97,4689.17,0.14,88,0.09,260.51,427.5,1,1,0
10.57,3.0,95.1,0.01,10,0.33,5.28,31.7,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
6.64,6.0,239.18,0.01,12,0.17,13.29,39.86,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
35.51,12.28,5352.73,0.15,88,0.08,297.37,435.97,1,1,1
75.75,43.23,141550.33,1.09,529,0.02,7863.91,3274.42,1,1,1
37.14,6.4,1521.19,0.08,57,0.16,84.51,237.69,1,1,0
29.02,3.5,355.53,0.03,26,0.29,19.75,101.58,1,1,0
25.4,13.71,4777.91,0.12,71,0.07,265.44,348.39,1,1,1
48.91,5.25,1347.98,0.09,56,0.19,74.89,256.76,1,1,1
99.17,12.98,16702.0,0.43,217,0.08,927.89,1286.97,1,1,1
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
66.14,38.06,95809.13,0.84,418,0.03,5322.73,2517.35,1,1,1
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
27.98,18.0,9065.86,0.17,99,0.06,503.66,503.66,1,1,1
99.0,17.94,31877.94,0.59,287,0.06,1771.0,1776.48,1,1,1
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
68.58,11.02,8321.46,0.25,136,0.09,462.3,755.42,1,1,1
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
73.44,25.26,46844.09,0.62,314,0.04,2602.45,1854.76,1,1,1
10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1,1,0
13.29,3.0,119.59,0.01,12,0.33,6.64,39.86,1,1,0
63.88,14.57,13563.07,0.31,161,0.07,753.5,930.8,1,1,1
35.69,27.62,27226.57,0.33,184,0.04,1512.59,985.79,1,1,1
76.45,17.93,24569.36,0.46,236,0.06,1364.96,1370.54,1,1,1
69.77,26.35,48459.37,0.61,299,0.04,2692.19,1838.77,1,1,1
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
33.38,14.25,6778.53,0.16,90,0.07,376.58,475.69,1,1,0
25.29,11.85,3548.61,0.1,63,0.08,197.14,299.56,1,1,0
25.29,11.85,3548.61,0.1,63,0.08,197.14,299.56,1,1,0
29.06,11.2,3645.43,0.11,67,0.09,202.52,325.48,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
31.11,7.36,1686.73,0.08,53,0.14,93.71,229.06,1,1,1
10.82,5.83,368.18,0.02,19,0.17,20.45,63.12,1,1,0
89.26,20.71,38301.26,0.62,317,0.05,2127.85,1849.03,1,1,0
37.67,8.13,2486.68,0.1,63,0.12,138.15,306.05,1,1,0
102.5,38.09,148686.82,1.3,597,0.03,8260.37,3903.88,1,1,1
64.58,19.75,25188.5,0.43,211,0.05,1399.36,1275.37,1,1,0
67.6,24.64,41048.67,0.56,282,0.04,2280.48,1665.74,1,1,0
38.54,15.17,8866.36,0.19,118,0.07,492.58,584.6,1,1,0
31.89,8.53,2320.9,0.09,56,0.12,128.94,272.05,1,1,0
43.9,12.52,6882.97,0.18,104,0.08,382.39,549.68,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
55.99,19.75,21840.0,0.37,198,0.05,1213.33,1105.82,1,1,1
139.4,16.46,37755.59,0.76,357,0.06,2097.53,2294.18,1,1,1
54.2,14.04,10683.73,0.25,145,0.07,593.54,760.95,1,1,1
123.35,19.27,45791.28,0.79,367,0.05,2543.96,2376.59,1,1,1
189.82,24.81,116852.98,1.57,675,0.04,6491.83,4709.66,1,1,1
195.9,54.54,582830.35,3.56,1413,0.02,32379.46,10685.45,1,1,1
30.14,6.15,1141.33,0.06,41,0.16,63.41,185.47,1,1,1
26.01,7.86,1605.45,0.07,44,0.13,89.19,204.33,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
23.77,15.54,5735.89,0.12,76,0.06,318.66,369.21,1,1,0
115.54,19.78,45226.86,0.76,367,0.05,2512.6,2285.98,1,1,1
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,1
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
6.64,6.0,239.18,0.01,12,0.17,13.29,39.86,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
14.83,7.0,726.48,0.03,30,0.14,40.36,103.78,1,1,0
3.74,6.0,134.75,0.01,8,0.17,7.49,22.46,1,1,0
16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,1,1,0
26.58,2.0,106.3,0.02,16,0.5,5.91,53.15,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
23.88,7.65,1397.36,0.06,43,0.13,77.63,182.66,1,1,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
26.15,9.17,2197.7,0.08,53,0.11,122.09,239.75,1,1,0
26.18,4.28,479.11,0.04,28,0.23,26.62,112.0,1,1,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
26.48,5.45,787.8,0.05,34,0.18,43.77,144.43,1,1,0
41.24,11.05,5037.64,0.15,92,0.09,279.87,455.79,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
71.77,11.08,8806.58,0.27,155,0.09,489.25,795.04,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
69.01,16.93,19777.28,0.39,207,0.06,1098.74,1168.28,1,1,0
69.8,10.02,7011.39,0.23,144,0.1,389.52,699.55,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
31.07,5.23,850.08,0.05,37,0.19,47.23,162.52,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
116.42,23.48,64177.21,0.91,418,0.04,3565.4,2733.37,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
45.02,14.88,9961.7,0.22,125,0.07,553.43,669.69,1,1,0
26.27,19.43,9914.72,0.17,104,0.05,550.82,510.32,1,1,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
18.99,5.14,502.31,0.03,25,0.19,27.91,97.67,1,1,0
31.35,9.97,3114.36,0.1,65,0.1,173.02,312.48,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
9.96,3.5,122.04,0.01,11,0.29,6.78,34.87,1,1,0
9.96,3.5,122.04,0.01,11,0.29,6.78,34.87,1,1,0
16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
48.56,17.22,14395.0,0.28,163,0.06,799.72,836.07,1,1,0
31.35,9.97,3114.36,0.1,65,0.1,173.02,312.48,1,1,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
34.38,9.75,3268.21,0.11,69,0.1,181.57,335.2,1,1,0
29.72,13.6,5496.65,0.13,85,0.07,305.37,404.17,1,1,0
47.78,23.7,26838.69,0.38,195,0.04,1491.04,1132.43,1,1,0
21.8,6.19,834.61,0.04,33,0.16,46.37,134.89,1,1,0
15.96,9.75,1517.0,0.05,36,0.1,84.28,155.59,1,1,0
25.78,5.5,779.78,0.05,34,0.18,43.32,141.78,1,1,0
46.32,15.11,10577.6,0.23,129,0.07,587.64,699.99,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
36.54,9.29,3150.52,0.11,74,0.11,175.03,339.29,1,1,0
67.77,18.76,23842.81,0.42,217,0.05,1324.6,1271.18,1,1,0
142.73,32.85,154013.92,1.56,680,0.03,8556.33,4688.48,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
23.96,5.85,820.06,0.05,33,0.17,45.56,140.18,1,1,0
13.31,6.75,606.54,0.03,23,0.15,33.7,89.86,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
22.75,5.5,688.04,0.04,30,0.18,38.22,125.1,1,1,0
34.5,6.46,1440.31,0.07,48,0.15,80.02,222.91,1,1,0
13.31,6.75,606.54,0.03,23,0.15,33.7,89.86,1,1,0
17.23,8.67,1294.27,0.05,34,0.12,71.9,149.34,1,1,0
101.07,8.32,6997.01,0.28,149,0.12,388.72,840.93,1,1,0
9.47,2.67,67.38,0.01,9,0.38,3.74,25.27,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
13.38,7.33,719.39,0.03,24,0.14,39.97,98.1,1,1,0
28.85,17.34,8678.36,0.17,101,0.06,482.13,500.37,1,1,0
19.46,3.5,238.4,0.02,19,0.29,13.24,68.11,1,1,0
115.58,11.75,15944.27,0.45,223,0.09,885.79,1357.5,1,1,0
100.52,18.02,32631.05,0.6,289,0.06,1812.84,1811.1,1,1,0
23.55,8.45,1681.86,0.07,44,0.12,93.44,199.04,1,1,0
7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,1,0
96.22,23.35,52445.24,0.75,373,0.04,2913.62,2246.34,1,1,0
33.04,9.75,3140.4,0.11,67,0.1,174.47,322.09,1,1,0
93.83,7.6,5424.68,0.24,138,0.13,301.37,713.45,1,1,0
94.19,8.43,6687.19,0.26,156,0.12,371.51,793.64,1,1,0
56.7,4.97,1402.71,0.09,60,0.2,77.93,282.03,1,1,0
54.09,8.25,3681.54,0.15,87,0.12,204.53,446.25,1,1,0
50.45,8.37,3534.13,0.14,83,0.12,196.34,422.26,1,1,0
34.59,3.55,434.76,0.04,30,0.28,24.15,122.62,1,1,0
86.1,7.84,5292.0,0.23,135,0.13,294.0,675.0,1,1,0
34.59,3.55,434.76,0.04,30,0.28,24.15,122.62,1,1,0
82.4,6.85,3871.09,0.19,114,0.15,215.06,564.78,1,1,0
77.63,8.22,5241.84,0.21,130,0.12,291.21,637.9,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
12.29,7.0,602.27,0.03,24,0.14,33.46,86.04,1,1,0
25.63,16.0,6560.0,0.14,82,0.06,364.44,410.0,1,1,0
24.85,16.5,6765.0,0.14,82,0.06,375.83,410.0,1,1,0
28.87,14.62,6175.54,0.14,83,0.07,343.09,422.26,1,1,0
23.36,8.4,1648.21,0.07,44,0.12,91.57,196.21,1,1,0
11.7,3.33,130.0,0.01,13,0.3,7.22,39.0,1,1,0
14.87,8.57,1092.32,0.04,30,0.12,60.68,127.44,1,1,0
26.73,9.21,2266.4,0.08,53,0.11,125.91,246.12,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
7.3,5.0,182.48,0.01,13,0.2,10.14,36.5,1,1,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
19.99,5.33,568.57,0.04,28,0.19,31.59,106.61,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,1,0
8.98,6.0,323.33,0.02,17,0.17,17.96,53.89,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
21.11,4.81,488.85,0.03,26,0.21,27.16,101.58,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
20.53,8.13,1355.23,0.06,40,0.12,75.29,166.8,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
24.56,12.25,3685.14,0.1,64,0.08,204.73,300.83,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
35.16,8.21,2372.72,0.1,63,0.12,131.82,288.85,1,1,0
17.84,6.19,682.86,0.04,27,0.16,37.94,110.36,1,1,0
24.12,18.56,8310.37,0.15,88,0.05,461.69,447.7,1,1,0
11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,1,1,0
13.66,4.2,240.91,0.02,16,0.24,13.38,57.36,1,1,0
16.61,3.0,149.49,0.02,15,0.33,8.3,49.83,1,1,0
13.3,6.4,544.7,0.03,23,0.16,30.26,85.11,1,1,0
14.68,8.25,999.19,0.04,31,0.12,55.51,121.11,1,1,0
23.9,3.0,215.1,0.02,20,0.33,11.95,71.7,1,1,0
27.13,15.06,6152.97,0.14,81,0.07,341.83,408.6,1,1,0
41.57,8.24,2819.37,0.11,72,0.12,156.63,342.35,1,1,0
26.28,5.6,824.03,0.05,36,0.18,45.78,147.15,1,1,0
17.88,9.33,1557.81,0.06,38,0.11,86.54,166.91,1,1,0
35.04,12.63,5590.85,0.15,87,0.08,310.6,442.61,1,1,0
39.51,10.08,4016.74,0.13,82,0.1,223.15,398.35,1,1,0
26.11,6.18,997.88,0.05,38,0.16,55.44,161.42,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
14.28,5.33,406.12,0.03,20,0.19,22.56,76.15,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
25.59,14.0,5014.84,0.12,73,0.07,278.6,358.2,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
34.43,7.86,2125.46,0.09,59,0.13,118.08,270.51,1,1,0
8.67,4.5,175.5,0.01,13,0.22,9.75,39.0,1,1,0
19.29,6.72,871.59,0.04,30,0.15,48.42,129.66,1,1,0
11.39,4.67,248.04,0.02,16,0.21,13.78,53.15,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,1,0
11.39,3.5,139.52,0.01,12,0.29,7.75,39.86,1,1,0
17.22,13.72,3243.25,0.08,53,0.07,180.18,236.35,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
15.86,7.2,822.39,0.04,30,0.14,45.69,114.22,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
89.21,24.0,51383.14,0.71,347,0.04,2854.62,2140.96,1,1,0
10.87,3.5,133.14,0.01,12,0.29,7.4,38.04,1,1,0
12.34,3.5,151.15,0.01,13,0.29,8.4,43.19,1,1,0
13.44,4.0,215.1,0.02,15,0.25,11.95,53.77,1,1,0
22.86,24.7,13948.3,0.19,111,0.04,774.91,564.71,1,1,0
12.14,6.4,497.34,0.03,21,0.16,27.63,77.71,1,1,0
28.59,6.95,1382.62,0.07,46,0.14,76.81,198.81,1,1,0
12.72,6.4,521.02,0.03,22,0.16,28.95,81.41,1,1,0
27.86,8.67,2092.83,0.08,52,0.12,116.27,241.48,1,1,0
24.71,5.63,781.73,0.05,34,0.18,43.43,138.97,1,1,0
3.62,5.0,90.47,0.01,7,0.2,5.03,18.09,1,1,0
16.47,13.0,2782.69,0.07,48,0.08,154.59,214.05,1,1,0
15.19,14.0,2976.5,0.07,47,0.07,165.36,212.61,1,1,0
9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1,1,0
14.34,3.5,175.66,0.02,14,0.29,9.76,50.19,1,1,0
15.23,10.5,1679.07,0.05,37,0.1,93.28,159.91,1,1,0
42.03,6.19,1609.1,0.09,56,0.16,89.39,260.06,1,1,0
31.49,14.0,6172.93,0.15,89,0.07,342.94,440.92,1,1,0
12.0,3.0,108.0,0.01,12,0.33,6.0,36.0,1,1,0
13.74,3.0,123.63,0.01,13,0.33,6.87,41.21,1,1,0
15.81,3.5,193.73,0.02,16,0.29,10.76,55.35,1,1,0
12.0,3.0,108.0,0.01,12,0.33,6.0,36.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
20.1,11.7,2752.14,0.08,52,0.09,152.9,235.23,1,1,0
11.39,3.5,139.52,0.01,12,0.29,7.75,39.86,1,1,0
9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,1,0
8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1,1,0
15.16,5.25,417.73,0.03,23,0.19,23.21,79.57,1,1,0
88.41,27.8,68305.52,0.82,397,0.04,3794.75,2457.36,1,1,0
10.87,3.5,133.14,0.01,12,0.29,7.4,38.04,1,1,0
12.34,3.5,151.15,0.01,13,0.29,8.4,43.19,1,1,0
13.44,4.0,215.1,0.02,15,0.25,11.95,53.77,1,1,0
24.1,24.7,14702.26,0.2,117,0.04,816.79,595.23,1,1,0
14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,1,1,0
28.59,6.95,1382.62,0.07,46,0.14,76.81,198.81,1,1,0
28.83,15.47,6896.24,0.15,90,0.06,383.12,445.88,1,1,0
17.15,13.0,2898.63,0.07,50,0.08,161.04,222.97,1,1,0
15.23,10.5,1679.07,0.05,37,0.1,93.28,159.91,1,1,0
33.66,13.22,5883.89,0.15,89,0.08,326.88,445.0,1,1,0
18.99,5.14,502.31,0.03,25,0.19,27.91,97.67,1,1,0
46.13,20.69,19748.29,0.32,170,0.05,1097.13,954.5,1,1,0
50.81,21.22,22872.08,0.36,192,0.05,1270.67,1078.02,1,1,0
28.85,17.34,8678.36,0.17,101,0.06,482.13,500.37,1,1,0
75.66,19.93,30048.37,0.5,246,0.05,1669.35,1507.8,1,1,0
23.55,8.45,1681.86,0.07,44,0.12,93.44,199.04,1,1,0
32.43,4.88,770.85,0.05,36,0.21,42.83,158.12,1,1,0
90.48,17.04,26283.38,0.51,259,0.06,1460.19,1542.14,1,1,0
61.09,13.24,10710.87,0.27,152,0.08,595.05,808.93,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,1,0
16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
28.73,7.92,1800.5,0.08,51,0.13,100.03,227.43,1,1,0
47.44,22.67,24374.21,0.36,186,0.04,1354.12,1075.33,1,1,0
65.16,27.99,51033.62,0.61,314,0.04,2835.2,1823.51,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
31.14,17.14,9151.3,0.18,101,0.06,508.41,533.83,1,1,0
39.6,10.15,4079.38,0.13,79,0.1,226.63,401.91,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
23.2,9.75,2205.24,0.08,50,0.1,122.51,226.18,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
58.14,23.94,33320.87,0.46,243,0.04,1851.16,1391.88,1,1,0
42.6,12.5,6656.28,0.18,103,0.08,369.79,532.5,1,1,0
52.27,12.46,8112.64,0.22,125,0.08,450.7,651.18,1,1,0
