BRANCH_COUNT,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,Defective,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LANGUAGE,LOC_BLANK,LOC_CODE_AND_COMMENT,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,PARAMETER_COUNT,PATHOLOGICAL_COMPLEXITY,PERCENT_COMMENTS,SOFTWARE
25,10,48,13,0.08,24,12,0.92,1,69,1,0.0,0,0.0,175.18,28.52,142535.33,1.67,695,0.04,7918.63,4996.93,0,93,11,57,143,154,0.08,12,24,58,0.04,305,290,405,122,24,1,1,32.22,0
5,3,8,3,0.16,4,3,1.0,0,11,1,0.0,0,0.0,36.74,14.57,7799.92,0.18,102,0.07,433.33,535.29,0,9,2,2,17,19,0.33,2,4,10,0.1,31,36,66,21,17,0,1,19.05,0
1,1,0,1,0.13,0,1,1.0,0,7,1,0.0,0,0.0,24.41,8.36,1704.86,0.07,51,0.12,94.71,204.0,0,3,0,3,8,8,1.0,0,0,8,0.03,32,13,38,7,9,0,1,27.27,0
7,2,12,4,0.2,6,4,1.0,0,14,1,0.0,0,0.0,54.3,7.89,3382.91,0.14,80,0.13,187.94,428.6,0,12,2,2,18,20,0.25,3,6,12,0.11,35,34,46,28,13,1,1,18.18,0
11,5,20,6,0.15,10,5,0.83,1,26,1,0.0,0,0.0,53.63,18.46,18269.63,0.33,172,0.05,1014.98,989.84,0,31,7,30,33,40,0.17,5,10,22,0.06,102,68,104,35,19,0,1,52.86,0
7,3,12,4,0.04,6,4,1.0,1,15,1,0.0,0,0.0,234.02,26.64,166113.93,2.08,822,0.04,9228.55,6234.84,0,62,7,46,92,99,0.25,3,6,13,0.02,215,373,449,168,24,0,1,36.55,0
13,5,24,7,0.14,12,7,1.0,1,30,1,0.0,0,0.0,78.96,22.12,38620.28,0.58,269,0.05,2145.57,1746.31,0,36,6,14,44,50,0.14,6,12,25,0.07,101,115,154,65,25,0,1,31.25,0
1,2,0,1,0.14,0,1,1.0,0,3,1,0.0,0,0.0,11.58,2.67,82.35,0.01,11,0.38,4.57,30.88,0,0,1,2,6,7,1.0,0,0,4,0.1,10,4,7,3,4,1,1,33.33,0
13,7,24,7,0.13,12,7,1.0,0,33,1,0.0,0,0.0,124.44,13.9,24028.83,0.58,262,0.07,1334.93,1729.18,0,39,4,28,48,52,0.14,6,12,28,0.06,120,107,155,77,20,1,1,40.0,0
19,6,36,10,0.08,18,10,1.0,0,69,1,0.0,0,0.0,208.02,26.3,143936.36,1.82,753,0.04,7996.46,5471.89,0,77,4,31,127,131,0.1,9,18,61,0.04,240,259,494,128,26,1,1,21.6,0
7,9,12,4,0.19,6,4,1.0,0,19,1,0.0,0,0.0,51.3,7.64,2991.43,0.13,77,0.13,166.19,391.73,0,55,0,23,21,21,0.25,3,6,17,0.04,100,28,49,22,12,0,1,52.27,0
23,2,42,12,0.18,20,8,0.67,0,46,3,0.18,0,0.0,108.84,15.19,25107.55,0.55,263,0.07,1394.86,1653.06,0,17,0,34,65,65,0.25,11,21,36,0.1,117,109,154,61,17,0,1,34.34,0
3,2,4,2,0.06,2,2,1.0,0,6,1,0.0,0,0.0,68.36,18.78,24116.87,0.43,214,0.05,1339.83,1284.0,0,12,1,8,32,33,0.5,1,2,6,0.04,54,96,118,46,18,0,1,21.95,0
9,7,16,5,0.21,8,5,1.0,0,20,1,0.0,0,0.0,30.19,7.85,1858.26,0.08,51,0.13,103.24,236.84,0,13,1,20,23,24,0.2,4,8,17,0.09,58,17,34,13,12,0,1,47.73,0
3,0,4,2,0.22,2,1,0.5,0,5,1,0.0,0,0.0,10.63,3.75,149.49,0.01,12,0.27,8.3,39.86,0,3,1,6,8,9,0.5,1,2,5,0.11,19,5,7,4,6,1,1,46.67,0
19,8,28,11,0.17,14,9,0.82,0,55,10,0.9,0,0.0,40.21,43.24,75169.98,0.58,292,0.02,4176.1,1738.63,0,22,1,1,63,64,0.91,7,14,46,0.13,88,105,187,34,28,2,1,3.08,0
7,4,12,4,0.17,6,4,1.0,0,19,4,1.0,0,0.0,30.25,10.71,3467.15,0.11,66,0.09,192.62,323.85,0,12,1,0,22,23,1.0,3,6,17,0.11,36,28,38,17,13,2,1,4.35,0
13,4,24,7,0.19,12,6,0.86,0,39,1,0.0,0,0.0,34.37,26.52,24176.72,0.3,168,0.04,1343.15,911.61,0,15,1,1,36,37,0.14,6,12,34,0.13,54,67,101,24,19,2,1,5.26,0
3,1,4,2,0.08,2,2,1.0,0,21,1,0.0,0,0.0,56.67,6.13,2126.03,0.12,73,0.16,118.11,347.11,0,5,1,2,23,24,0.5,1,2,21,0.06,32,35,38,20,7,2,1,11.54,0
9,3,16,5,0.24,8,4,0.8,0,19,5,1.0,0,0.0,23.83,11.5,3151.22,0.09,57,0.09,175.07,274.02,0,12,1,1,20,21,1.0,4,8,16,0.14,35,23,34,14,14,2,1,9.09,0
7,3,12,4,0.19,6,4,1.0,0,17,4,1.0,0,0.0,26.81,10.4,2899.8,0.09,58,0.1,161.1,278.83,0,9,4,0,17,21,1.0,3,6,15,0.13,31,24,34,15,13,2,1,19.05,0
27,7,44,15,0.2,22,12,0.8,0,66,8,0.5,0,0.0,36.37,50.39,92350.98,0.61,299,0.02,5130.61,1832.66,0,27,3,1,73,76,0.53,11,22,53,0.14,105,113,186,37,33,2,1,5.19,0
3,1,4,2,0.2,2,2,1.0,0,6,1,0.0,0,0.0,16.39,3.5,200.76,0.02,16,0.29,11.15,57.36,0,7,4,1,6,10,0.5,1,2,6,0.11,19,5,11,5,7,2,1,45.45,0
7,5,12,4,0.18,6,3,0.75,0,21,1,0.0,0,0.0,31.11,12.06,4520.83,0.13,75,0.08,251.16,375.0,0,10,5,1,17,22,0.25,3,6,19,0.12,34,31,44,18,14,2,1,26.09,0
23,7,36,13,0.19,18,9,0.69,0,59,9,0.67,0,0.0,39.47,43.33,74124.42,0.57,283,0.02,4118.02,1710.56,0,22,3,1,64,67,0.69,9,18,48,0.14,91,104,179,36,30,2,1,5.88,0
7,1,10,4,0.2,4,2,0.5,0,12,4,1.0,0,0.0,13.47,16.0,3447.89,0.07,47,0.06,191.55,215.49,0,3,0,0,20,20,1.0,3,5,10,0.17,24,16,31,8,16,1,1,0.0,0
11,1,16,6,0.25,6,2,0.33,0,18,6,1.0,0,0.0,19.97,17.33,5999.58,0.12,72,0.06,333.31,346.13,0,3,0,0,24,24,1.0,5,8,14,0.21,28,26,46,12,16,1,1,0.0,0
11,1,16,6,0.25,6,2,0.33,0,18,6,1.0,0,0.0,19.97,17.33,5999.58,0.12,72,0.06,333.31,346.13,0,3,0,0,24,24,1.0,5,8,14,0.21,28,26,46,12,16,1,1,0.0,0
5,0,6,3,0.33,2,1,0.33,0,8,3,1.0,0,0.0,14.65,4.8,337.48,0.02,19,0.21,18.75,70.31,0,0,0,0,9,9,1.0,2,3,7,0.3,10,6,13,5,8,1,1,0.0,0
9,0,10,5,0.56,2,1,0.2,0,12,5,1.0,0,0.0,19.29,6.43,797.14,0.04,31,0.16,44.29,124.0,0,0,0,0,9,9,1.0,4,7,9,0.5,10,10,21,7,9,1,1,0.0,0
5,0,6,3,0.33,2,1,0.33,0,8,3,1.0,0,0.0,9.14,10.0,913.77,0.03,24,0.1,50.76,91.38,0,0,0,0,9,9,1.0,2,3,7,0.3,10,8,16,4,10,1,1,0.0,0
1,0,0,1,0.08,0,1,1.0,1,1,1,0.0,0,0.0,17.77,9.0,1439.2,0.05,37,0.11,79.96,159.91,0,7,0,1,12,12,1.0,0,0,2,0.05,21,12,25,8,12,1,1,7.69,0
1,0,0,1,0.08,0,1,1.0,1,1,1,0.0,0,0.0,17.77,9.0,1439.2,0.05,37,0.11,79.96,159.91,0,7,0,1,12,12,1.0,0,0,2,0.05,21,12,25,8,12,1,1,7.69,0
3,0,4,2,0.14,2,1,0.5,0,6,1,0.0,0,0.0,36.78,7.07,1838.97,0.09,56,0.14,102.16,260.06,0,0,0,0,14,14,0.5,1,2,6,0.13,15,18,38,14,11,2,1,0.0,0
9,8,16,5,0.07,8,5,1.0,0,24,1,0.0,0,0.0,97.85,22.12,47876.6,0.72,331,0.05,2659.81,2164.46,0,39,9,14,60,69,0.2,4,8,21,0.03,146,114,217,67,26,8,1,27.71,0
1,1,0,1,0.1,0,1,1.0,0,2,1,0.0,0,0.0,20.41,6.13,765.75,0.04,32,0.16,42.54,125.02,0,5,0,2,10,10,1.0,0,0,3,0.06,18,14,18,8,7,1,1,16.67,0
5,2,8,3,0.12,4,3,1.0,0,10,1,0.0,0,0.0,39.8,9.0,3223.83,0.12,73,0.11,179.1,358.2,0,9,10,6,16,26,0.33,2,4,9,0.07,42,27,46,18,12,0,1,50.0,0
3,2,4,2,0.17,2,2,1.0,0,6,1,0.0,0,0.0,23.34,6.11,871.59,0.05,33,0.16,48.42,142.62,0,4,0,4,12,12,0.5,1,2,6,0.1,21,10,23,9,11,1,1,25.0,0
3,0,4,2,0.15,2,1,0.5,0,6,1,0.0,0,0.0,18.1,9.63,1676.34,0.06,41,0.1,93.13,174.17,0,3,0,0,13,13,0.5,1,2,6,0.12,17,14,27,8,11,2,1,0.0,0
34,25,12,30,0.22,6,26,0.87,1,70,1,0.0,0,0.0,54.04,77.46,324260.81,1.4,605,0.01,18014.49,4185.91,0,55,3,91,133,136,0.03,3,6,42,0.11,283,220,385,71,50,3,1,41.41,0
3,3,4,2,0.13,2,2,1.0,0,7,1,0.0,0,0.0,21.16,9.1,1752.37,0.06,42,0.11,97.35,192.57,0,5,0,13,16,16,0.5,1,2,7,0.06,35,13,29,10,14,3,1,44.83,0
7,2,10,4,0.13,4,3,0.75,0,12,3,0.67,0,0.0,28.78,18.12,9456.28,0.17,95,0.06,525.35,521.73,0,22,3,5,27,30,0.75,3,5,10,0.07,58,29,66,20,25,3,1,22.86,0
9,2,14,5,0.15,6,4,0.8,0,16,4,0.75,0,0.0,35.02,17.25,10420.79,0.2,110,0.06,578.93,604.1,0,19,3,15,31,34,0.8,4,7,13,0.07,69,33,77,22,23,3,1,36.73,0
1,0,0,1,0.1,0,1,1.0,0,1,1,0.0,0,0.0,14.04,2.0,56.15,0.01,10,0.5,3.12,28.07,0,5,0,1,10,10,1.0,0,0,2,0.06,17,3,7,3,4,2,1,9.09,0
9,3,16,5,0.13,8,3,0.6,0,19,1,0.0,0,0.0,30.93,16.0,7919.03,0.16,93,0.06,439.95,494.94,0,12,2,28,37,39,0.2,4,8,16,0.06,80,32,61,20,20,2,1,44.78,0
1,0,0,1,0.13,0,1,1.0,0,1,1,0.0,0,0.0,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,0,2,0,1,8,8,1.0,0,0,2,0.08,12,3,6,3,5,2,1,11.11,0
1,0,0,1,0.13,0,1,1.0,0,1,1,0.0,0,0.0,21.8,6.19,834.61,0.04,33,0.16,46.37,134.89,0,6,0,2,8,8,1.0,0,0,2,0.06,17,11,22,8,9,1,1,20.0,0
1,0,0,1,0.1,0,1,1.0,0,1,1,0.0,0,0.0,26.21,7.0,1284.34,0.06,44,0.14,71.35,183.48,0,5,1,5,9,10,1.0,0,0,2,0.05,21,14,30,9,9,2,1,40.0,0
1,0,0,1,0.11,0,1,1.0,0,1,1,0.0,0,0.0,17.05,8.25,1160.35,0.05,36,0.12,64.45,140.65,0,3,0,5,9,9,1.0,0,0,2,0.06,18,11,25,6,9,2,1,35.71,0
1,0,0,1,0.14,0,1,1.0,0,1,1,0.0,0,0.0,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,0,2,0,1,7,7,1.0,0,0,2,0.09,11,2,6,2,5,1,1,12.5,0
7,1,10,4,0.15,4,2,0.5,0,13,3,0.67,0,0.0,38.77,13.2,6756.06,0.17,99,0.08,375.34,511.82,0,5,0,6,26,26,0.75,3,5,11,0.11,38,33,66,20,16,2,1,18.75,0
1,0,0,1,0.14,0,1,1.0,0,1,1,0.0,0,0.0,16.28,6.0,586.03,0.03,25,0.17,32.56,97.67,0,5,0,2,7,7,1.0,0,0,2,0.07,15,8,17,6,9,1,1,22.22,0
1,0,0,1,0.07,0,1,1.0,0,1,1,0.0,0,0.0,27.99,13.05,4767.45,0.12,86,0.08,264.86,365.32,0,5,0,6,14,14,1.0,0,0,2,0.04,26,29,57,10,9,1,1,30.0,0
1,0,0,1,0.11,0,1,1.0,0,1,1,0.0,0,0.0,9.97,4.67,217.03,0.02,14,0.21,12.06,46.51,0,4,0,0,9,9,1.0,0,0,2,0.07,14,4,10,3,7,1,1,0.0,0
1,0,0,1,0.09,0,1,1.0,0,1,1,0.0,0,0.0,11.78,7.0,577.18,0.03,23,0.14,32.07,82.45,0,5,0,0,11,11,1.0,0,0,2,0.06,17,7,16,4,8,2,1,0.0,0
11,1,20,6,0.18,10,3,0.5,0,19,1,0.0,0,0.0,59.16,12.6,9398.15,0.25,135,0.08,522.12,745.68,0,6,0,8,34,34,0.17,5,10,15,0.12,49,43,92,29,17,2,1,19.05,0
1,0,0,1,0.14,0,1,1.0,0,1,1,0.0,0,0.0,9.96,3.5,122.04,0.01,11,0.29,6.78,34.87,0,4,0,1,7,7,1.0,0,0,2,0.08,13,2,9,2,7,1,1,12.5,0
13,5,22,7,0.21,10,5,0.71,0,24,1,0.0,0,0.0,26.31,23.5,14529.3,0.21,126,0.04,807.18,618.27,0,21,2,30,31,33,0.14,6,11,19,0.08,85,47,79,15,15,1,1,50.79,0
1,0,0,1,0.13,0,1,1.0,0,1,1,0.0,0,0.0,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,0,2,0,1,8,8,1.0,0,0,2,0.08,12,3,6,3,5,2,1,11.11,0
1,0,0,1,0.17,0,1,1.0,0,1,1,0.0,0,0.0,10.0,3.0,90.0,0.01,10,0.33,5.0,30.0,0,2,0,0,6,6,1.0,0,0,2,0.11,9,2,8,2,6,1,1,0.0,0
1,0,0,1,0.14,0,1,1.0,0,1,1,0.0,0,0.0,9.49,3.5,116.27,0.01,10,0.29,6.46,33.22,0,2,0,0,7,7,1.0,0,0,2,0.1,10,3,7,3,7,2,1,0.0,0
3,0,4,2,0.13,2,1,0.5,0,6,1,0.0,0,0.0,37.54,7.6,2168.23,0.1,60,0.13,120.46,285.29,0,7,0,0,15,15,0.5,1,2,6,0.09,23,19,41,15,12,2,1,0.0,0
1,0,0,1,0.06,0,1,1.0,0,1,1,0.0,0,0.0,34.64,8.36,2419.46,0.1,64,0.12,134.41,289.51,0,7,0,0,16,16,1.0,0,0,2,0.04,24,26,38,14,9,2,1,0.0,0
1,0,0,1,0.05,0,1,1.0,0,1,1,0.0,0,0.0,30.16,9.73,2855.37,0.1,64,0.1,158.63,293.44,0,13,0,1,19,19,1.0,0,0,2,0.02,42,23,41,13,11,2,1,5.0,0
7,2,12,4,0.19,6,4,1.0,0,15,4,1.0,0,0.0,18.1,16.36,4845.73,0.1,63,0.06,269.21,296.13,0,10,6,12,15,21,1.0,3,6,13,0.09,44,24,39,11,15,2,1,54.55,0
57,13,112,29,0.17,56,27,0.93,0,162,7,0.21,0,0.0,91.32,55.88,285170.84,1.7,729,0.02,15842.82,5103.0,0,53,45,13,130,175,0.24,28,56,135,0.11,259,309,420,94,34,0,1,30.85,0
7,8,12,4,0.12,6,4,1.0,0,25,1,0.0,0,0.0,30.45,20.71,13065.14,0.21,122,0.05,725.84,630.73,0,12,3,3,30,33,0.25,3,6,23,0.08,49,58,64,21,15,0,1,16.67,0
11,8,20,6,0.16,10,6,1.0,0,31,1,0.0,0,0.0,64.31,12.0,9260.02,0.26,146,0.08,514.45,771.67,0,10,4,0,34,38,0.17,5,10,27,0.12,49,54,92,27,12,0,1,10.53,0
