Halstead_b,Halstead_d,Halstead_e,Halstead_i,Halstead_l,Halstead_lOBlank,Halstead_lOCode,Halstead_lOComment,Halstead_n,Halstead_t,Halstead_v,McCabe_ev(g),McCabe_iv(g),McCabe_loc,McCabe_v(g),SOFTWARE,branchCount,defects,locCodeAndComment,total_Op,total_Opnd,uniq_Op,uniq_Opnd
0.43,27.5,35852.6,47.41,0.04,40,2,15,231.0,1991.81,1303.73,1.0,2.0,31.0,5.0,0,9.0,0,0,161.0,70.0,22.0,28.0
0.22,15.2,9958.0,43.1,0.07,23,3,20,120.0,553.22,655.13,1.0,2.0,24.0,5.0,0,9.0,0,0,80.0,40.0,19.0,25.0
0.09,9.15,2480.95,29.61,0.11,8,6,5,57.0,137.83,271.03,1.0,1.0,13.0,2.0,0,3.0,0,0,40.0,17.0,14.0,13.0
0.02,4.0,222.03,13.88,0.25,2,1,1,15.0,12.33,55.51,1.0,1.0,6.0,1.0,0,1.0,0,0,10.0,5.0,8.0,5.0
0.25,11.65,8684.99,64.01,0.09,19,2,0,135.0,482.5,745.68,1.0,2.0,33.0,2.0,0,3.0,0,0,69.0,66.0,12.0,34.0
0.02,4.0,222.03,13.88,0.25,0,1,1,15.0,12.33,55.51,1.0,1.0,6.0,1.0,0,1.0,0,0,10.0,5.0,8.0,5.0
0.04,12.0,1265.83,8.79,0.08,1,0,0,27.0,70.32,105.49,1.0,1.0,7.0,2.0,0,3.0,0,0,15.0,12.0,10.0,5.0
0.02,4.38,211.89,11.07,0.23,0,0,0,14.0,11.77,48.43,1.0,1.0,3.0,1.0,0,1.0,0,0,9.0,5.0,7.0,4.0
0.04,4.88,538.26,22.65,0.21,0,0,0,29.0,29.9,110.41,1.0,1.0,7.0,1.0,0,1.0,0,0,16.0,13.0,6.0,8.0
0.06,14.14,2417.96,12.09,0.07,1,0,0,41.0,134.33,170.97,1.0,1.0,9.0,3.0,0,5.0,0,0,23.0,18.0,11.0,7.0
0.07,14.67,3156.61,14.67,0.07,1,0,0,49.0,175.37,215.22,1.0,1.0,11.0,3.0,0,5.0,0,0,27.0,22.0,12.0,9.0
0.01,3.0,117.0,13.0,0.33,0,0,0,13.0,6.5,39.0,1.0,1.0,4.0,1.0,0,1.0,0,0,7.0,6.0,4.0,4.0
0.01,2.5,49.13,7.86,0.4,0,0,0,7.0,2.73,19.65,1.0,1.0,3.0,1.0,0,1.0,0,0,5.0,2.0,5.0,2.0
0.12,19.62,7260.95,18.87,0.05,7,11,30,77.0,403.39,370.17,1.0,1.0,16.0,4.0,0,7.0,0,0,43.0,34.0,15.0,13.0
1.11,42.02,139798.54,79.18,0.02,33,5,95,541.0,7766.59,3327.01,1.0,1.0,65.0,12.0,0,23.0,0,0,311.0,230.0,19.0,52.0
1.86,54.82,305928.62,101.81,0.02,134,63,31,767.0,16996.03,5580.79,6.0,23.0,177.0,41.0,0,60.0,0,0,499.0,268.0,45.0,110.0
0.06,15.0,2781.99,12.36,0.07,9,4,5,41.0,154.56,185.47,1.0,3.0,14.0,5.0,0,8.0,0,0,25.0,16.0,15.0,8.0
5.12,97.73,1499684.32,157.03,0.01,164,37,191,1844.0,83315.8,15345.64,27.0,46.0,361.0,70.0,0,110.0,0,0,1133.0,711.0,69.0,251.0
0.65,32.21,62767.66,60.5,0.03,27,3,48,298.0,3487.09,1948.67,7.0,10.0,76.0,13.0,0,24.0,0,0,196.0,102.0,36.0,57.0
0.88,22.83,60566.12,116.21,0.04,4,0,10,461.0,3364.78,2653.0,1.0,1.0,31.0,1.0,0,1.0,0,0,317.0,144.0,13.0,41.0
0.12,10.29,3620.93,34.17,0.1,5,0,0,71.0,201.16,351.75,1.0,3.0,20.0,3.0,0,5.0,0,0,46.0,25.0,14.0,17.0
0.18,21.86,11802.86,24.71,0.05,7,4,5,108.0,655.71,540.0,3.0,3.0,27.0,5.0,0,9.0,0,0,74.0,34.0,18.0,14.0
0.09,7.18,1867.89,36.19,0.14,16,2,24,52.0,103.77,260.0,1.0,3.0,15.0,3.0,0,5.0,0,0,31.0,21.0,13.0,19.0
0.1,11.03,3253.68,26.75,0.09,15,3,8,59.0,180.76,295.0,1.0,4.0,13.0,4.0,0,7.0,0,0,34.0,25.0,15.0,17.0
0.23,12.89,8852.8,53.31,0.08,42,5,44,123.0,491.82,686.95,1.0,6.0,32.0,6.0,0,11.0,0,0,76.0,47.0,17.0,31.0
0.23,14.11,9649.29,48.49,0.07,19,2,16,120.0,536.07,684.05,1.0,3.0,25.0,3.0,0,5.0,0,0,71.0,49.0,19.0,33.0
0.13,13.42,5120.93,28.43,0.07,19,5,10,75.0,284.5,381.56,4.0,4.0,22.0,4.0,0,7.0,0,0,41.0,34.0,15.0,19.0
0.24,23.1,16332.07,30.61,0.04,15,5,19,128.0,907.34,707.02,1.0,4.0,28.0,6.0,0,11.0,0,0,73.0,55.0,21.0,25.0
0.21,24.42,15282.02,25.62,0.04,13,3,18,122.0,849.0,625.77,1.0,2.0,18.0,2.0,0,3.0,0,0,64.0,58.0,16.0,19.0
0.36,39.72,42716.37,27.08,0.03,14,2,20,197.0,2373.13,1075.51,1.0,3.0,24.0,5.0,0,9.0,0,0,110.0,87.0,21.0,23.0
0.67,21.19,42426.35,94.51,0.05,26,5,32,310.0,2357.02,2002.42,4.0,6.0,62.0,9.0,0,17.0,0,0,197.0,113.0,24.0,64.0
0.55,15.19,25107.55,108.84,0.07,17,0,34,263.0,1394.86,1653.06,3.0,8.0,65.0,12.0,0,23.0,0,0,154.0,109.0,17.0,61.0
0.06,7.0,1269.25,25.9,0.14,3,0,3,49.0,70.51,181.32,1.0,1.0,8.0,1.0,0,1.0,0,0,37.0,12.0,7.0,6.0
0.14,7.89,3382.91,54.3,0.13,12,2,2,80.0,187.94,428.6,1.0,4.0,18.0,4.0,0,7.0,0,0,46.0,34.0,13.0,28.0
0.01,2.67,82.35,11.58,0.38,0,1,2,11.0,4.57,30.88,1.0,1.0,6.0,1.0,0,1.0,0,0,7.0,4.0,4.0,3.0
0.54,14.23,23143.92,114.37,0.07,39,4,28,250.0,1285.77,1626.95,1.0,7.0,48.0,7.0,0,13.0,0,0,149.0,101.0,20.0,71.0
1.78,24.9,132838.37,214.24,0.04,77,4,31,737.0,7379.91,5334.7,1.0,10.0,127.0,10.0,0,19.0,0,0,486.0,251.0,25.0,126.0
0.13,7.64,2991.43,51.3,0.13,55,0,23,77.0,166.19,391.73,1.0,4.0,21.0,4.0,0,7.0,0,0,49.0,28.0,12.0,22.0
0.43,18.78,24116.87,68.36,0.05,12,1,8,214.0,1339.83,1284.0,1.0,2.0,32.0,2.0,0,3.0,0,0,118.0,96.0,18.0,46.0
0.33,17.21,16963.26,57.28,0.06,40,3,47,169.0,942.4,985.76,1.0,5.0,41.0,6.0,0,11.0,0,0,110.0,59.0,21.0,36.0
0.08,7.85,1858.26,30.19,0.13,13,1,20,51.0,103.24,236.84,1.0,5.0,23.0,5.0,0,9.0,0,0,34.0,17.0,12.0,13.0
0.05,5.5,869.68,28.75,0.18,7,0,6,36.0,48.32,158.12,1.0,1.0,8.0,2.0,0,3.0,0,0,26.0,10.0,11.0,10.0
0.16,15.0,7125.0,31.67,0.07,7,0,8,95.0,395.83,475.0,1.0,1.0,25.0,4.0,0,7.0,0,0,65.0,30.0,16.0,16.0
0.01,3.75,149.49,10.63,0.27,3,1,6,12.0,8.3,39.86,1.0,1.0,8.0,2.0,0,3.0,0,0,7.0,5.0,6.0,4.0
0.18,14.57,7799.92,36.74,0.07,9,2,2,102.0,433.33,535.29,1.0,3.0,17.0,3.0,0,5.0,0,0,66.0,36.0,17.0,21.0
0.35,19.25,20172.82,54.44,0.05,12,2,12,176.0,1120.71,1047.94,1.0,5.0,38.0,5.0,0,9.0,0,0,106.0,70.0,22.0,40.0
0.27,14.84,12009.6,54.55,0.07,23,10,9,140.0,667.2,809.39,5.0,5.0,31.0,5.0,0,9.0,0,0,79.0,61.0,18.0,37.0
0.1,10.26,3185.02,30.24,0.1,3,0,3,61.0,176.95,310.34,1.0,3.0,21.0,4.0,0,7.0,0,0,35.0,26.0,15.0,19.0
0.1,10.26,3185.02,30.24,0.1,3,0,3,61.0,176.95,310.34,1.0,3.0,21.0,4.0,0,7.0,0,0,35.0,26.0,15.0,19.0
0.03,11.0,1074.39,8.88,0.09,3,0,0,25.0,59.69,97.67,1.0,1.0,14.0,2.0,0,3.0,0,0,14.0,11.0,10.0,5.0
0.02,3.5,200.76,16.39,0.29,0,0,4,16.0,11.15,57.36,1.0,1.0,6.0,1.0,0,1.0,0,0,11.0,5.0,7.0,5.0
0.19,20.78,11829.84,27.4,0.05,6,0,17,111.0,657.21,569.35,1.0,2.0,29.0,5.0,0,9.0,0,0,67.0,44.0,17.0,18.0
0.15,12.89,5919.2,35.6,0.08,8,1,11,91.0,328.84,459.04,1.0,1.0,18.0,3.0,0,5.0,0,0,56.0,35.0,14.0,19.0
0.44,26.83,35190.17,48.89,0.04,17,0,8,217.0,1955.01,1311.63,5.0,8.0,55.0,11.0,0,21.0,0,0,129.0,88.0,25.0,41.0
0.31,15.65,14671.27,59.87,0.06,14,0,39,150.0,815.07,937.19,1.0,1.0,47.0,3.0,0,5.0,0,0,68.0,82.0,21.0,55.0
0.17,22.85,11393.4,21.82,0.04,10,2,14,95.0,632.97,498.55,4.0,2.0,32.0,6.0,0,11.0,0,0,58.0,37.0,21.0,17.0
1.04,53.2,166215.79,58.73,0.02,22,3,13,538.0,9234.21,3124.36,1.0,1.0,32.0,3.0,0,5.0,0,0,272.0,266.0,16.0,40.0
0.3,24.28,22126.47,37.54,0.04,10,0,11,165.0,1229.25,911.39,1.0,1.0,38.0,4.0,0,6.0,0,0,96.0,69.0,19.0,27.0
0.09,7.07,1838.97,36.78,0.14,0,0,0,56.0,102.16,260.06,1.0,1.0,14.0,2.0,0,3.0,0,0,38.0,18.0,11.0,14.0
0.72,22.12,47876.6,97.85,0.05,39,9,14,331.0,2659.81,2164.46,1.0,5.0,60.0,5.0,0,9.0,0,0,217.0,114.0,26.0,67.0
0.04,6.13,765.75,20.41,0.16,5,0,2,32.0,42.54,125.02,1.0,1.0,10.0,1.0,0,1.0,0,0,18.0,14.0,7.0,8.0
0.12,9.0,3223.83,39.8,0.11,9,10,6,73.0,179.1,358.2,1.0,3.0,16.0,3.0,0,5.0,0,0,46.0,27.0,12.0,18.0
0.05,6.11,871.59,23.34,0.16,4,0,4,33.0,48.42,142.62,1.0,2.0,12.0,2.0,0,3.0,0,0,23.0,10.0,11.0,9.0
0.06,9.63,1676.34,18.1,0.1,3,0,0,41.0,93.13,174.17,1.0,1.0,13.0,2.0,0,3.0,0,0,27.0,14.0,11.0,8.0
0.06,9.1,1752.37,21.16,0.11,5,0,13,42.0,97.35,192.57,1.0,2.0,16.0,2.0,0,3.0,0,0,29.0,13.0,14.0,10.0
0.17,18.12,9456.28,28.78,0.06,22,3,5,95.0,525.35,521.73,3.0,3.0,27.0,4.0,0,7.0,0,0,66.0,29.0,25.0,20.0
0.2,17.25,10420.79,35.02,0.06,19,3,15,110.0,578.93,604.1,4.0,4.0,31.0,5.0,0,9.0,0,0,77.0,33.0,23.0,22.0
0.01,2.0,56.15,14.04,0.5,5,0,1,10.0,3.12,28.07,1.0,1.0,10.0,1.0,0,1.0,0,0,7.0,3.0,4.0,3.0
0.16,16.0,7919.03,30.93,0.06,12,2,28,93.0,439.95,494.94,1.0,3.0,37.0,5.0,0,9.0,0,0,61.0,32.0,20.0,20.0
0.01,2.5,67.5,10.8,0.4,2,0,1,9.0,3.75,27.0,1.0,1.0,8.0,1.0,0,1.0,0,0,6.0,3.0,5.0,3.0
0.04,6.19,834.61,21.8,0.16,6,0,2,33.0,46.37,134.89,1.0,1.0,8.0,1.0,0,1.0,0,0,22.0,11.0,9.0,8.0
0.06,7.0,1284.34,26.21,0.14,5,1,5,44.0,71.35,183.48,1.0,1.0,9.0,1.0,0,1.0,0,0,30.0,14.0,9.0,9.0
0.05,8.25,1160.35,17.05,0.12,3,0,5,36.0,64.45,140.65,1.0,1.0,9.0,1.0,0,1.0,0,0,25.0,11.0,9.0,6.0
0.01,2.5,56.15,8.98,0.4,2,0,1,8.0,3.12,22.46,1.0,1.0,7.0,1.0,0,1.0,0,0,6.0,2.0,5.0,2.0
0.17,13.2,6756.06,38.77,0.08,5,0,6,99.0,375.34,511.82,3.0,2.0,26.0,4.0,0,7.0,0,0,66.0,33.0,16.0,20.0
0.03,6.0,586.03,16.28,0.17,5,0,2,25.0,32.56,97.67,1.0,1.0,7.0,1.0,0,1.0,0,0,17.0,8.0,9.0,6.0
0.12,13.05,4767.45,27.99,0.08,5,0,6,86.0,264.86,365.32,1.0,1.0,14.0,1.0,0,1.0,0,0,57.0,29.0,9.0,10.0
0.02,4.67,217.03,9.97,0.21,4,0,0,14.0,12.06,46.51,1.0,1.0,9.0,1.0,0,1.0,0,0,10.0,4.0,7.0,3.0
0.03,7.0,577.18,11.78,0.14,5,0,0,23.0,32.07,82.45,1.0,1.0,11.0,1.0,0,1.0,0,0,16.0,7.0,8.0,4.0
0.25,12.6,9398.15,59.16,0.08,6,0,8,135.0,522.12,745.68,1.0,3.0,34.0,6.0,0,11.0,0,0,92.0,43.0,17.0,29.0
0.01,3.5,122.04,9.96,0.29,4,0,1,11.0,6.78,34.87,1.0,1.0,7.0,1.0,0,1.0,0,0,9.0,2.0,7.0,2.0
0.21,23.5,14529.3,26.31,0.04,21,2,30,126.0,807.18,618.27,1.0,5.0,31.0,7.0,0,13.0,0,0,79.0,47.0,15.0,15.0
0.01,2.5,67.5,10.8,0.4,2,0,1,9.0,3.75,27.0,1.0,1.0,8.0,1.0,0,1.0,0,0,6.0,3.0,5.0,3.0
0.01,3.0,90.0,10.0,0.33,2,0,0,10.0,5.0,30.0,1.0,1.0,6.0,1.0,0,1.0,0,0,8.0,2.0,6.0,2.0
0.01,3.5,116.27,9.49,0.29,2,0,0,10.0,6.46,33.22,1.0,1.0,7.0,1.0,0,1.0,0,0,7.0,3.0,7.0,3.0
0.1,7.6,2168.23,37.54,0.13,7,0,0,60.0,120.46,285.29,1.0,1.0,15.0,2.0,0,3.0,0,0,41.0,19.0,12.0,15.0
0.1,8.36,2419.46,34.64,0.12,7,0,0,64.0,134.41,289.51,1.0,1.0,16.0,1.0,0,1.0,0,0,38.0,26.0,9.0,14.0
0.1,9.73,2855.37,30.16,0.1,13,0,1,64.0,158.63,293.44,1.0,1.0,19.0,1.0,0,1.0,0,0,41.0,23.0,11.0,13.0
1.7,55.88,285170.84,91.32,0.02,53,45,13,729.0,15842.82,5103.0,7.0,27.0,130.0,29.0,0,57.0,0,0,420.0,309.0,34.0,94.0
0.21,20.71,13065.14,30.45,0.05,12,3,3,122.0,725.84,630.73,1.0,4.0,30.0,4.0,0,7.0,0,0,64.0,58.0,15.0,21.0
0.26,12.0,9260.02,64.31,0.08,10,4,0,146.0,514.45,771.67,1.0,6.0,34.0,6.0,0,11.0,0,0,92.0,54.0,12.0,27.0
0.43,46.0,59779.23,28.25,0.02,6,1,6,241.0,3321.07,1299.55,6.0,2.0,20.0,6.0,0,11.0,0,0,165.0,76.0,23.0,19.0
0.08,14.38,3622.63,17.53,0.07,7,0,0,53.0,201.26,252.01,1.0,1.0,17.0,2.0,0,3.0,0,0,30.0,23.0,15.0,12.0
0.08,14.38,3622.63,17.53,0.07,6,0,0,53.0,201.26,252.01,1.0,1.0,17.0,2.0,0,3.0,0,0,30.0,23.0,15.0,12.0
0.38,23.02,25900.42,48.87,0.04,3,0,5,210.0,1438.91,1125.09,8.0,1.0,26.0,8.0,0,15.0,0,0,145.0,65.0,17.0,24.0
0.02,5.63,392.28,12.4,0.18,0,0,0,22.0,21.79,69.74,1.0,1.0,10.0,1.0,0,1.0,0,0,13.0,9.0,5.0,4.0
0.01,3.0,109.62,12.18,0.33,0,0,0,11.0,6.09,36.54,1.0,1.0,6.0,1.0,0,1.0,0,0,7.0,4.0,6.0,4.0
0.01,2.67,82.35,11.58,0.38,3,0,0,11.0,4.57,30.88,1.0,1.0,8.0,1.0,0,1.0,0,0,7.0,4.0,4.0,3.0
0.9,48.06,129374.54,56.02,0.02,24,13,55,407.0,7187.47,2692.19,7.0,6.0,93.0,17.0,0,33.0,0,0,234.0,173.0,35.0,63.0
1.89,54.33,307757.08,104.25,0.02,2,33,58,790.0,17097.62,5664.24,12.0,9.0,128.0,25.0,0,49.0,0,0,464.0,326.0,36.0,108.0
0.18,11.69,6449.49,47.22,0.09,1,0,11,103.0,358.3,551.83,1.0,3.0,28.0,3.0,0,5.0,0,0,70.0,33.0,17.0,24.0
0.1,9.41,2943.55,33.23,0.11,1,0,3,62.0,163.53,312.75,1.0,2.0,19.0,2.0,0,3.0,0,0,42.0,20.0,16.0,17.0
0.09,8.91,2515.03,31.71,0.11,2,0,3,57.0,139.72,282.39,1.0,2.0,19.0,2.0,0,3.0,0,0,38.0,19.0,15.0,16.0
0.1,8.63,2570.73,34.56,0.12,2,0,2,62.0,142.82,298.06,1.0,3.0,21.0,3.0,0,5.0,0,0,39.0,23.0,12.0,16.0
1.71,38.57,198396.43,133.35,0.03,26,20,119,695.0,11022.02,5143.61,10.0,13.0,154.0,17.0,0,28.0,0,0,410.0,285.0,36.0,133.0
1.04,40.25,126046.47,77.8,0.02,21,13,50,438.0,7002.58,3131.59,1.0,13.0,125.0,18.0,0,31.0,0,0,270.0,168.0,46.0,96.0
0.03,7.86,786.33,12.74,0.13,4,0,1,24.0,43.68,100.08,1.0,1.0,14.0,2.0,0,3.0,0,0,14.0,10.0,11.0,7.0
1.57,36.21,170066.5,129.72,0.03,5,7,39,690.0,9448.14,4697.07,8.0,5.0,127.0,30.0,0,59.0,0,0,438.0,252.0,25.0,87.0
0.04,3.33,368.04,33.12,0.3,0,0,0,29.0,20.45,110.41,1.0,1.0,12.0,1.0,0,1.0,0,0,17.0,12.0,5.0,9.0
0.12,11.63,4329.68,32.0,0.09,2,0,9,72.0,240.54,372.23,1.0,2.0,18.0,2.0,0,3.0,0,0,46.0,26.0,17.0,19.0
0.15,11.56,5232.17,39.18,0.09,5,0,3,89.0,290.68,452.78,1.0,3.0,20.0,3.0,0,5.0,0,0,63.0,26.0,16.0,18.0
0.28,17.63,15014.65,48.31,0.06,3,2,13,156.0,834.15,851.67,1.0,4.0,36.0,4.0,0,6.0,0,0,100.0,56.0,17.0,27.0
1.15,22.73,78244.98,151.5,0.04,22,12,33,488.0,4346.94,3442.98,7.0,20.0,160.0,32.0,0,58.0,0,0,325.0,163.0,29.0,104.0
0.66,18.86,37359.42,105.02,0.05,8,6,7,318.0,2075.52,1980.76,9.0,7.0,47.0,10.0,0,19.0,0,0,221.0,97.0,21.0,54.0
0.01,2.0,31.02,7.75,0.5,0,0,0,6.0,1.72,15.51,1.0,1.0,6.0,1.0,0,1.0,0,0,4.0,2.0,4.0,2.0
0.01,2.0,31.02,7.75,0.5,0,0,0,6.0,1.72,15.51,1.0,1.0,6.0,1.0,0,1.0,0,0,4.0,2.0,4.0,2.0
0.3,14.75,13163.37,60.5,0.07,2,3,35,153.0,731.3,892.43,3.0,1.0,38.0,4.0,0,7.0,0,0,94.0,59.0,19.0,38.0
0.01,2.0,31.02,7.75,0.5,0,0,0,6.0,1.72,15.51,1.0,1.0,6.0,1.0,0,1.0,0,0,4.0,2.0,4.0,2.0
0.03,2.0,150.57,37.64,0.5,0,0,0,21.0,8.36,75.28,1.0,1.0,12.0,1.0,0,1.0,0,0,13.0,8.0,4.0,8.0
0.03,2.67,246.7,34.69,0.38,0,0,0,25.0,13.71,92.51,1.0,1.0,12.0,1.0,0,1.0,0,0,13.0,12.0,4.0,9.0
0.03,2.67,246.7,34.69,0.38,0,0,0,25.0,13.71,92.51,1.0,1.0,9.0,1.0,0,1.0,0,0,13.0,12.0,4.0,9.0
0.49,15.69,23101.5,93.81,0.06,14,0,7,241.0,1283.42,1472.15,1.0,2.0,41.0,2.0,0,3.0,0,0,145.0,96.0,17.0,52.0
0.28,14.68,12512.17,58.05,0.07,5,0,6,151.0,695.12,852.22,1.0,2.0,30.0,2.0,0,3.0,0,0,94.0,57.0,17.0,33.0
0.01,2.5,49.13,7.86,0.4,0,0,0,7.0,2.73,19.65,1.0,1.0,6.0,1.0,0,1.0,0,0,5.0,2.0,5.0,2.0
0.1,21.0,6065.91,13.75,0.05,4,0,0,63.0,336.99,288.85,1.0,1.0,20.0,5.0,0,9.0,0,0,42.0,21.0,16.0,8.0
1.86,46.92,261640.64,118.83,0.02,10,2,65,781.0,14535.59,5575.99,11.0,6.0,149.0,15.0,0,29.0,0,0,448.0,333.0,31.0,110.0
0.01,2.0,44.92,11.23,0.5,0,0,0,8.0,2.5,22.46,1.0,1.0,6.0,1.0,0,1.0,0,0,5.0,3.0,4.0,3.0
0.12,7.71,2723.97,45.77,0.13,10,2,18,70.0,151.33,353.11,1.0,2.0,16.0,3.0,0,5.0,0,0,43.0,27.0,12.0,21.0
0.06,5.25,943.51,34.23,0.19,5,0,0,46.0,52.42,179.72,1.0,1.0,15.0,1.0,0,1.0,0,0,25.0,21.0,5.0,10.0
0.1,15.5,4622.3,19.24,0.06,5,0,6,69.0,256.79,298.21,1.0,1.0,13.0,1.0,0,1.0,0,0,38.0,31.0,10.0,10.0
0.01,3.5,157.4,12.85,0.29,0,0,0,13.0,8.74,44.97,1.0,1.0,6.0,1.0,0,1.0,0,0,9.0,4.0,7.0,4.0
0.05,9.29,1404.34,16.29,0.11,4,3,0,37.0,78.02,151.24,1.0,1.0,14.0,2.0,0,3.0,0,0,24.0,13.0,10.0,7.0
0.05,9.29,1404.34,16.29,0.11,4,3,0,37.0,78.02,151.24,1.0,1.0,14.0,2.0,0,3.0,0,0,24.0,13.0,10.0,7.0
0.25,12.04,8964.95,61.85,0.08,12,0,39,130.0,498.05,744.63,1.0,1.0,27.0,3.0,0,5.0,0,0,69.0,61.0,15.0,38.0
0.1,9.5,2850.0,31.58,0.11,0,0,6,60.0,158.33,300.0,1.0,2.0,19.0,2.0,0,3.0,0,0,41.0,19.0,16.0,16.0
0.18,23.0,12075.0,22.83,0.04,3,6,6,105.0,670.83,525.0,1.0,2.0,21.0,2.0,0,3.0,0,0,59.0,46.0,16.0,16.0
0.01,3.75,161.94,11.52,0.27,1,0,0,13.0,9.0,43.19,1.0,1.0,6.0,1.0,0,1.0,0,0,8.0,5.0,6.0,4.0
0.06,7.64,1418.49,24.32,0.13,0,0,5,40.0,78.8,185.75,3.0,2.0,16.0,3.0,0,5.0,0,0,28.0,12.0,14.0,11.0
0.58,33.32,57931.89,52.18,0.03,10,12,20,292.0,3218.44,1738.63,1.0,3.0,55.0,9.0,0,17.0,0,0,179.0,113.0,23.0,39.0
0.0,1.5,17.41,7.74,0.67,0,0,0,5.0,0.97,11.61,1.0,1.0,6.0,1.0,0,1.0,0,0,3.0,2.0,3.0,2.0
0.02,2.29,142.33,27.24,0.44,1,0,0,18.0,7.91,62.27,1.0,1.0,9.0,1.0,0,1.0,0,0,10.0,8.0,4.0,7.0
0.04,3.33,368.04,33.12,0.3,0,0,0,29.0,20.45,110.41,1.0,1.0,12.0,1.0,0,1.0,0,0,17.0,12.0,5.0,9.0
0.03,2.67,246.7,34.69,0.38,0,0,0,25.0,13.71,92.51,1.0,1.0,12.0,1.0,0,1.0,0,0,13.0,12.0,4.0,9.0
0.92,36.57,100429.38,75.09,0.03,24,0,18,418.0,5579.41,2746.2,19.0,13.0,69.0,19.0,0,37.0,0,0,267.0,151.0,31.0,64.0
1.56,27.21,127275.78,171.89,0.04,6,1,58,625.0,7070.88,4677.38,1.0,24.0,138.0,25.0,0,47.0,0,0,375.0,250.0,32.0,147.0
0.01,2.0,31.02,7.75,0.5,0,0,0,6.0,1.72,15.51,1.0,1.0,6.0,1.0,0,1.0,0,0,4.0,2.0,4.0,2.0
0.01,2.0,31.02,7.75,0.5,0,0,0,6.0,1.72,15.51,1.0,1.0,6.0,1.0,0,1.0,0,0,4.0,2.0,4.0,2.0
0.52,18.26,28729.02,86.16,0.05,6,1,19,255.0,1596.06,1573.33,9.0,7.0,72.0,16.0,0,31.0,0,0,172.0,83.0,22.0,50.0
0.0,1.5,12.0,5.33,0.67,0,0,0,4.0,0.67,8.0,1.0,1.0,6.0,1.0,0,1.0,0,0,3.0,1.0,3.0,1.0
0.0,2.0,23.22,5.8,0.5,0,0,0,5.0,1.29,11.61,1.0,1.0,6.0,1.0,0,1.0,0,0,4.0,1.0,4.0,1.0
0.01,2.5,49.13,7.86,0.4,0,0,0,7.0,2.73,19.65,1.0,1.0,6.0,1.0,0,1.0,0,0,5.0,2.0,5.0,2.0
0.01,2.5,67.5,10.8,0.4,0,0,4,9.0,3.75,27.0,1.0,1.0,6.0,1.0,0,1.0,0,0,6.0,3.0,5.0,3.0
0.02,2.14,156.61,34.11,0.47,0,0,0,22.0,8.7,73.08,1.0,1.0,11.0,1.0,0,1.0,0,0,12.0,10.0,3.0,7.0
0.13,11.57,4586.97,34.26,0.09,0,1,23,75.0,254.83,396.41,1.0,4.0,23.0,4.0,0,7.0,0,0,48.0,27.0,18.0,21.0
