McCabe_loc,McCabe_v(g),McCabe_ev(g),McCabe_iv(g),Language,SOFTWARE,defects
55.0,11.0,5.0,8.0,,,0
47.0,3.0,1.0,1.0,,,0
32.0,6.0,4.0,2.0,,,0
32.0,3.0,1.0,1.0,,,0
38.0,4.0,1.0,1.0,,,0
14.0,2.0,1.0,1.0,,,0
60.0,5.0,1.0,5.0,,,0
10.0,1.0,1.0,1.0,,,0
16.0,3.0,1.0,3.0,,,0
12.0,2.0,1.0,2.0,,,0
13.0,2.0,1.0,1.0,,,0
16.0,2.0,1.0,2.0,,,0
27.0,4.0,3.0,3.0,,,0
31.0,5.0,4.0,4.0,,,0
10.0,1.0,1.0,1.0,,,0
37.0,5.0,1.0,3.0,,,0
8.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
26.0,4.0,3.0,2.0,,,0
7.0,1.0,1.0,1.0,,,0
14.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
11.0,1.0,1.0,1.0,,,0
34.0,6.0,1.0,3.0,,,0
7.0,1.0,1.0,1.0,,,0
31.0,7.0,1.0,5.0,,,0
8.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
15.0,2.0,1.0,1.0,,,0
16.0,1.0,1.0,1.0,,,0
19.0,1.0,1.0,1.0,,,0
130.0,29.0,7.0,27.0,,,0
30.0,4.0,1.0,4.0,,,0
34.0,6.0,1.0,6.0,,,0
20.0,6.0,6.0,2.0,,,0
17.0,2.0,1.0,1.0,,,0
17.0,2.0,1.0,1.0,,,0
26.0,8.0,8.0,1.0,,,0
10.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
93.0,17.0,7.0,6.0,,,0
128.0,25.0,12.0,9.0,,,0
28.0,3.0,1.0,3.0,,,0
19.0,2.0,1.0,2.0,,,0
19.0,2.0,1.0,2.0,,,0
21.0,3.0,1.0,3.0,,,0
154.0,17.0,10.0,13.0,,,0
125.0,18.0,1.0,13.0,,,0
14.0,2.0,1.0,1.0,,,0
127.0,30.0,8.0,5.0,,,0
12.0,1.0,1.0,1.0,,,0
18.0,2.0,1.0,2.0,,,0
20.0,3.0,1.0,3.0,,,0
36.0,4.0,1.0,4.0,,,0
160.0,32.0,7.0,20.0,,,0
47.0,10.0,9.0,7.0,,,0
6.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
38.0,4.0,3.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
12.0,1.0,1.0,1.0,,,0
12.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
41.0,2.0,1.0,2.0,,,0
30.0,2.0,1.0,2.0,,,0
6.0,1.0,1.0,1.0,,,0
20.0,5.0,1.0,1.0,,,0
149.0,15.0,11.0,6.0,,,0
6.0,1.0,1.0,1.0,,,0
16.0,3.0,1.0,2.0,,,0
15.0,1.0,1.0,1.0,,,0
13.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
14.0,2.0,1.0,1.0,,,0
14.0,2.0,1.0,1.0,,,0
27.0,3.0,1.0,1.0,,,0
19.0,2.0,1.0,2.0,,,0
21.0,2.0,1.0,2.0,,,0
6.0,1.0,1.0,1.0,,,0
16.0,3.0,3.0,2.0,,,0
55.0,9.0,1.0,3.0,,,0
6.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
12.0,1.0,1.0,1.0,,,0
12.0,1.0,1.0,1.0,,,0
69.0,19.0,19.0,13.0,,,0
138.0,25.0,1.0,24.0,,,0
6.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
72.0,16.0,9.0,7.0,,,0
6.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
11.0,1.0,1.0,1.0,,,0
23.0,4.0,1.0,4.0,,,0
17.0,1.0,1.0,1.0,,,0
60.0,13.0,1.0,6.0,,,0
32.0,5.0,1.0,3.0,,,0
16.0,3.0,3.0,1.0,,,0
42.0,2.0,1.0,2.0,,,0
6.0,1.0,1.0,1.0,,,0
14.0,2.0,1.0,1.0,,,0
27.0,3.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
31.0,5.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
11.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
13.0,2.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
22.0,2.0,1.0,2.0,,,0
29.0,7.0,5.0,2.0,,,0
9.0,1.0,1.0,1.0,,,0
16.0,4.0,4.0,1.0,,,0
92.0,15.0,15.0,15.0,,,0
18.0,4.0,4.0,1.0,,,0
36.0,6.0,1.0,6.0,,,0
5.0,1.0,1.0,1.0,,,0
22.0,3.0,1.0,3.0,,,0
3.0,1.0,1.0,1.0,,,0
7.0,2.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
9.0,3.0,1.0,1.0,,,0
11.0,3.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
30.0,4.0,1.0,2.0,,,0
5.0,1.0,1.0,1.0,,,0
16.0,4.0,1.0,2.0,,,0
5.0,1.0,1.0,1.0,,,0
15.0,4.0,1.0,2.0,,,0
40.0,10.0,1.0,8.0,,,0
5.0,1.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
12.0,2.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
44.0,6.0,1.0,4.0,,,0
31.0,5.0,1.0,5.0,,,0
22.0,6.0,1.0,3.0,,,0
20.0,4.0,1.0,4.0,,,0
27.0,6.0,3.0,5.0,,,0
6.0,1.0,1.0,1.0,,,0
25.0,2.0,1.0,2.0,,,0
10.0,2.0,1.0,1.0,,,0
10.0,2.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
14.0,3.0,1.0,2.0,,,0
20.0,4.0,1.0,4.0,,,0
28.0,7.0,5.0,5.0,,,0
3.0,1.0,1.0,1.0,,,0
45.0,12.0,5.0,8.0,,,0
7.0,2.0,1.0,2.0,,,0
7.0,2.0,1.0,2.0,,,0
7.0,2.0,1.0,2.0,,,0
7.0,2.0,1.0,2.0,,,0
7.0,2.0,1.0,2.0,,,0
7.0,2.0,1.0,2.0,,,0
7.0,2.0,1.0,2.0,,,0
11.0,2.0,1.0,1.0,,,0
11.0,2.0,1.0,1.0,,,0
27.0,8.0,4.0,6.0,,,0
10.0,2.0,1.0,2.0,,,0
9.0,2.0,1.0,1.0,,,0
9.0,2.0,1.0,1.0,,,0
20.0,3.0,1.0,1.0,,,0
98.0,10.0,10.0,7.0,,,0
172.0,25.0,15.0,24.0,,,0
6.0,1.0,1.0,1.0,,,0
43.0,4.0,1.0,4.0,,,0
36.0,2.0,1.0,2.0,,,0
21.0,4.0,1.0,3.0,,,0
6.0,1.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
16.0,4.0,1.0,2.0,,,0
14.0,3.0,1.0,3.0,,,0
88.0,19.0,9.0,9.0,,,0
29.0,4.0,1.0,3.0,,,0
60.0,21.0,5.0,15.0,,,0
52.0,10.0,3.0,6.0,,,0
7.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
20.0,1.0,1.0,1.0,,,0
29.0,6.0,1.0,6.0,,,0
9.0,1.0,1.0,1.0,,,0
15.0,4.0,4.0,2.0,,,0
14.0,2.0,1.0,1.0,,,0
22.0,3.0,1.0,1.0,,,0
63.0,15.0,4.0,3.0,,,0
9.0,2.0,1.0,1.0,,,0
9.0,2.0,1.0,1.0,,,0
17.0,4.0,1.0,2.0,,,0
9.0,3.0,3.0,1.0,,,0
10.0,2.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
9.0,5.0,5.0,1.0,,,0
101.0,19.0,9.0,8.0,,,0
29.0,8.0,1.0,6.0,,,0
22.0,6.0,5.0,4.0,,,0
106.0,13.0,1.0,11.0,,,0
21.0,3.0,1.0,3.0,,,0
10.0,2.0,1.0,2.0,,,0
17.0,3.0,1.0,3.0,,,0
13.0,3.0,1.0,3.0,,,0
4.0,1.0,1.0,1.0,,,0
49.0,13.0,8.0,6.0,,,0
49.0,13.0,8.0,6.0,,,0
55.0,14.0,9.0,5.0,,,0
55.0,14.0,9.0,5.0,,,0
17.0,5.0,4.0,2.0,,,0
17.0,5.0,4.0,2.0,,,0
20.0,5.0,4.0,2.0,,,0
20.0,5.0,4.0,2.0,,,0
30.0,9.0,9.0,2.0,,,0
45.0,15.0,15.0,2.0,,,0
20.0,6.0,6.0,2.0,,,0
41.0,10.0,7.0,2.0,,,0
25.0,8.0,8.0,1.0,,,0
22.0,5.0,1.0,2.0,,,0
41.0,4.0,1.0,4.0,,,0
48.0,6.0,5.0,4.0,,,0
24.0,9.0,1.0,8.0,,,0
25.0,4.0,1.0,3.0,,,0
176.0,23.0,15.0,17.0,,,0
10.0,2.0,1.0,2.0,,,0
66.0,9.0,4.0,7.0,,,0
32.0,4.0,1.0,3.0,,,0
18.0,2.0,1.0,2.0,,,0
3.0,1.0,1.0,1.0,,,0
14.0,3.0,3.0,2.0,,,0
29.0,4.0,3.0,3.0,,,0
104.0,18.0,13.0,7.0,,,0
68.0,12.0,5.0,7.0,,,0
7.0,1.0,1.0,1.0,,,0
21.0,4.0,1.0,4.0,,,0
10.0,2.0,1.0,1.0,,,0
19.0,3.0,1.0,3.0,,,0
7.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
19.0,2.0,1.0,1.0,,,0
10.0,2.0,1.0,1.0,,,0
11.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
15.0,2.0,1.0,1.0,,,0
10.0,2.0,1.0,2.0,,,0
6.0,1.0,1.0,1.0,,,0
44.0,6.0,1.0,6.0,,,0
8.0,1.0,1.0,1.0,,,0
15.0,2.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
15.0,3.0,1.0,3.0,,,0
70.0,13.0,7.0,9.0,,,0
24.0,4.0,1.0,4.0,,,0
6.0,1.0,1.0,1.0,,,0
12.0,3.0,1.0,2.0,,,0
5.0,1.0,1.0,1.0,,,0
8.0,1.0,1.0,1.0,,,0
9.0,2.0,1.0,1.0,,,0
9.0,2.0,1.0,1.0,,,0
19.0,4.0,1.0,4.0,,,0
6.0,1.0,1.0,1.0,,,0
25.0,6.0,1.0,6.0,,,0
19.0,3.0,1.0,3.0,,,0
76.0,16.0,10.0,11.0,,,0
35.0,5.0,1.0,5.0,,,0
8.0,3.0,1.0,2.0,,,0
14.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
27.0,5.0,1.0,4.0,,,0
20.0,3.0,1.0,2.0,,,0
27.0,6.0,1.0,2.0,,,0
25.0,5.0,1.0,4.0,,,0
423.0,96.0,27.0,63.0,,,0
30.0,5.0,1.0,5.0,,,0
10.0,4.0,1.0,3.0,,,0
49.0,16.0,10.0,3.0,,,0
85.0,32.0,12.0,10.0,,,0
8.0,7.0,1.0,1.0,,,0
50.0,15.0,9.0,1.0,,,0
165.0,29.0,27.0,22.0,,,0
17.0,2.0,1.0,2.0,,,0
15.0,4.0,1.0,4.0,,,0
61.0,11.0,7.0,10.0,,,0
63.0,12.0,3.0,10.0,,,0
16.0,3.0,1.0,3.0,,,0
49.0,13.0,1.0,13.0,,,0
52.0,14.0,1.0,14.0,,,0
42.0,7.0,1.0,7.0,,,0
62.0,13.0,9.0,10.0,,,0
65.0,13.0,3.0,10.0,,,0
75.0,17.0,9.0,11.0,,,0
8.0,2.0,1.0,1.0,,,0
8.0,2.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
15.0,4.0,3.0,1.0,,,0
8.0,2.0,1.0,1.0,,,0
9.0,2.0,1.0,2.0,,,0
13.0,3.0,1.0,2.0,,,0
3.0,1.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
15.0,2.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
20.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
6.0,2.0,1.0,2.0,,,0
7.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
6.0,2.0,1.0,2.0,,,0
2.0,1.0,1.0,1.0,,,0
2.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
9.0,2.0,1.0,1.0,,,0
16.0,1.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
5.0,1.0,1.0,1.0,,,0
9.0,2.0,1.0,1.0,,,0
18.0,3.0,1.0,1.0,,,0
38.0,10.0,4.0,4.0,,,0
14.0,6.0,5.0,1.0,,,0
47.0,13.0,3.0,2.0,,,0
11.0,2.0,1.0,1.0,,,0
11.0,2.0,1.0,1.0,,,0
11.0,2.0,1.0,1.0,,,0
21.0,4.0,4.0,4.0,,,0
23.0,4.0,4.0,4.0,,,0
13.0,3.0,1.0,3.0,,,0
21.0,3.0,1.0,3.0,,,0
21.0,3.0,1.0,3.0,,,0
22.0,4.0,4.0,3.0,,,0
41.0,8.0,6.0,6.0,,,0
22.0,4.0,3.0,2.0,,,0
9.0,3.0,3.0,1.0,,,0
50.0,10.0,10.0,9.0,,,0
29.0,10.0,10.0,8.0,,,0
50.0,10.0,10.0,9.0,,,0
29.0,19.0,1.0,8.0,,,0
29.0,7.0,5.0,2.0,,,0
9.0,1.0,1.0,1.0,,,0
16.0,4.0,4.0,1.0,,,0
9.0,1.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
30.0,7.0,3.0,4.0,,,0
14.0,2.0,1.0,2.0,,,0
56.0,22.0,1.0,12.0,,,0
21.0,3.0,1.0,3.0,,,0
14.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
16.0,3.0,3.0,1.0,,,0
22.0,3.0,1.0,3.0,,,0
27.0,4.0,1.0,3.0,,,0
3.0,1.0,1.0,1.0,,,0
7.0,2.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
9.0,3.0,1.0,1.0,,,0
11.0,3.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
12.0,3.0,1.0,1.0,,,0
31.0,4.0,1.0,2.0,,,1
29.0,5.0,1.0,3.0,,,1
71.0,10.0,8.0,9.0,,,1
15.0,2.0,1.0,2.0,,,1
33.0,6.0,1.0,5.0,,,1
92.0,4.0,1.0,4.0,,,1
44.0,7.0,1.0,7.0,,,1
143.0,13.0,1.0,12.0,,,1
196.0,37.0,21.0,26.0,,,1
12.0,1.0,1.0,1.0,,,1
12.0,1.0,1.0,1.0,,,1
133.0,30.0,1.0,26.0,,,1
28.0,3.0,1.0,2.0,,,1
91.0,20.0,9.0,4.0,,,1
41.0,4.0,3.0,3.0,,,1
149.0,20.0,1.0,18.0,,,1
411.0,73.0,30.0,41.0,,,1
121.0,15.0,3.0,12.0,,,1
130.0,20.0,9.0,10.0,,,1
79.0,12.0,4.0,6.0,,,1
57.0,9.0,1.0,7.0,,,1
49.0,7.0,1.0,5.0,,,1
58.0,10.0,5.0,1.0,,,1
28.0,3.0,1.0,3.0,,,1
13.0,3.0,1.0,3.0,,,1
71.0,8.0,1.0,7.0,,,1
22.0,2.0,1.0,2.0,,,1
22.0,5.0,5.0,3.0,,,1
59.0,7.0,1.0,7.0,,,1
19.0,1.0,1.0,1.0,,,1
89.0,24.0,9.0,19.0,,,1
32.0,4.0,1.0,4.0,,,1
74.0,11.0,11.0,9.0,,,1
32.0,4.0,1.0,4.0,,,1
107.0,18.0,9.0,10.0,,,1
7.0,1.0,1.0,1.0,,,1
19.0,3.0,1.0,1.0,,,1
18.0,3.0,1.0,3.0,,,1
22.0,3.0,1.0,3.0,,,1
20.0,3.0,1.0,3.0,,,1
8.0,1.0,1.0,1.0,,,1
44.0,8.0,4.0,7.0,,,1
91.0,18.0,7.0,16.0,,,1
47.0,3.0,1.0,3.0,,,1
24.0,4.0,3.0,3.0,,,1
82.0,11.0,3.0,10.0,,,1
10.0,2.0,1.0,1.0,,,1
28.0,6.0,5.0,5.0,,,1
1.1,1.4,1.4,1.4,,,0
1.0,1.0,1.0,1.0,,,1
72.0,7.0,1.0,6.0,,,1
190.0,3.0,1.0,3.0,,,1
37.0,4.0,1.0,4.0,,,1
31.0,2.0,1.0,2.0,,,1
78.0,9.0,5.0,4.0,,,1
8.0,1.0,1.0,1.0,,,1
24.0,2.0,1.0,2.0,,,1
143.0,22.0,20.0,10.0,,,1
73.0,10.0,4.0,6.0,,,1
83.0,11.0,10.0,7.0,,,1
12.0,3.0,1.0,1.0,,,1
48.0,4.0,1.0,4.0,,,1
68.0,8.0,1.0,5.0,,,1
138.0,22.0,10.0,8.0,,,1
10.0,1.0,1.0,1.0,,,1
250.0,49.0,34.0,16.0,,,1
77.0,8.0,1.0,1.0,,,1
85.0,9.0,1.0,7.0,,,1
110.0,17.0,13.0,8.0,,,1
49.0,6.0,6.0,3.0,,,1
187.0,35.0,26.0,16.0,,,1
27.0,6.0,6.0,3.0,,,1
38.0,8.0,1.0,3.0,,,1
294.0,43.0,33.0,24.0,,,1
29.0,3.0,1.0,3.0,,,1
160.0,5.0,4.0,3.0,,,1
94.0,16.0,9.0,5.0,,,1
48.0,3.0,1.0,3.0,,,1
14.0,2.0,1.0,2.0,,,1
32.0,6.0,4.0,4.0,,,1
11.0,1.0,1.0,1.0,,,1
20.0,3.0,1.0,1.0,,,1
39.0,1.0,1.0,1.0,,,1
63.0,21.0,21.0,8.0,,,1
78.0,6.0,1.0,5.0,,,1
209.0,26.0,17.0,19.0,,,1
6.0,2.0,1.0,1.0,,,1
44.0,13.0,13.0,7.0,,,1
24.0,3.0,1.0,1.0,,,1
23.0,2.0,1.0,2.0,,,1
69.0,6.0,3.0,4.0,,,1
148.0,19.0,10.0,11.0,,,1
83.0,20.0,15.0,7.0,,,1
53.0,4.0,1.0,4.0,,,1
97.0,15.0,12.0,4.0,,,1
25.0,2.0,1.0,2.0,,,1
466.0,110.0,95.0,85.0,,,1
110.0,27.0,14.0,9.0,,,1
113.0,19.0,18.0,11.0,,,1
119.0,9.0,7.0,7.0,,,1
15.0,3.0,1.0,2.0,,,1
44.0,10.0,8.0,10.0,,,1
124.0,55.0,55.0,55.0,,,1
8.0,1.0,1.0,1.0,,,1
8.0,1.0,1.0,1.0,,,1
162.0,27.0,23.0,26.0,,,1
113.0,27.0,20.0,16.0,,,1
8.0,1.0,1.0,1.0,,,1
8.0,1.0,1.0,1.0,,,1
9.0,2.0,1.0,1.0,,,1
179.0,36.0,27.0,35.0,,,1
171.0,16.0,1.0,16.0,,,1
77.0,15.0,11.0,15.0,,,1
8.0,1.0,1.0,1.0,,,1
12.0,4.0,1.0,1.0,,,1
42.0,9.0,1.0,4.0,,,1
14.0,1.0,1.0,1.0,,,1
19.0,5.0,1.0,1.0,,,1
88.0,8.0,1.0,7.0,,,1
13.0,2.0,1.0,2.0,,,1
46.0,4.0,1.0,4.0,,,1
129.0,30.0,18.0,25.0,,,1
20.0,1.0,1.0,1.0,,,1
22.0,1.0,1.0,1.0,,,1
32.0,2.0,1.0,2.0,,,1
13.0,1.0,1.0,1.0,,,1
12.0,3.0,1.0,2.0,,,1
6.0,1.0,1.0,1.0,,,1
17.0,3.0,1.0,1.0,,,1
5.0,1.0,1.0,1.0,,,1
227.0,55.0,22.0,26.0,,,1
68.0,5.0,1.0,4.0,,,1
37.0,4.0,1.0,4.0,,,1
106.0,12.0,5.0,9.0,,,1
18.0,1.0,1.0,1.0,,,1
100.0,11.0,1.0,7.0,,,1
99.0,14.0,5.0,11.0,,,1
53.0,6.0,1.0,3.0,,,1
4.0,1.0,1.0,1.0,,,1
4.0,1.0,1.0,1.0,,,1
4.0,1.0,1.0,1.0,,,1
4.0,1.0,1.0,1.0,,,1
4.0,1.0,1.0,1.0,,,1
50.0,5.0,5.0,3.0,,,1
14.0,3.0,1.0,1.0,,,1
11.0,2.0,1.0,1.0,,,1
174.0,15.0,11.0,7.0,,,1
33.0,4.0,1.0,3.0,,,1
4.0,1.0,1.0,1.0,,,1
13.0,2.0,1.0,2.0,,,1
135.0,11.0,1.0,9.0,,,1
49.0,6.0,3.0,5.0,,,1
45.0,6.0,1.0,3.0,,,1
65.0,4.0,4.0,1.0,,,1
40.0,5.0,3.0,5.0,,,1
59.0,7.0,5.0,7.0,,,1
31.0,4.0,3.0,4.0,,,1
45.0,9.0,9.0,5.0,,,1
31.0,6.0,1.0,3.0,,,1
28.0,2.0,1.0,2.0,,,1
49.0,3.0,1.0,3.0,,,1
30.0,5.0,3.0,4.0,,,1
146.0,15.0,9.0,9.0,,,1
127.0,16.0,10.0,9.0,,,1
85.0,18.0,11.0,1.0,,,1
28.0,5.0,3.0,4.0,,,1
21.0,4.0,3.0,3.0,,,1
127.0,23.0,21.0,8.0,,,1
45.0,12.0,1.0,6.0,,,1
31.0,3.0,1.0,2.0,,,1
11.0,3.0,1.0,2.0,,,1
28.0,6.0,6.0,4.0,,,1
61.0,8.0,1.0,3.0,,,1
12.0,2.0,1.0,1.0,,,1
20.0,6.0,6.0,2.0,,,1
28.0,3.0,1.0,2.0,,,1
55.0,4.0,1.0,4.0,,,1
38.0,6.0,1.0,3.0,,,1
14.0,10.0,7.0,6.0,,,1
142.0,11.0,1.0,3.0,,,1
29.0,3.0,1.0,2.0,,,1
15.0,2.0,1.0,2.0,,,1
54.0,5.0,1.0,4.0,,,1
105.0,6.0,1.0,4.0,,,1
29.0,3.0,3.0,2.0,,,1
15.0,3.0,1.0,1.0,,,1
24.0,4.0,4.0,2.0,,,1
25.0,4.0,4.0,2.0,,,1
88.0,14.0,1.0,14.0,,,1
116.0,13.0,7.0,12.0,,,1
71.0,5.0,1.0,4.0,,,1
49.0,4.0,3.0,3.0,,,1
87.0,10.0,5.0,4.0,,,1
19.0,2.0,1.0,2.0,,,1
99.0,9.0,1.0,7.0,,,1
84.0,8.0,5.0,5.0,,,1
77.0,10.0,1.0,10.0,,,1
139.0,20.0,8.0,3.0,,,1
37.0,5.0,1.0,1.0,,,1
29.0,3.0,1.0,3.0,,,1
20.0,3.0,1.0,3.0,,,1
31.0,3.0,1.0,3.0,,,1
34.0,5.0,1.0,1.0,,,1
62.0,6.0,4.0,5.0,,,1
132.0,31.0,23.0,12.0,,,1
18.0,4.0,1.0,3.0,,,1
68.0,4.0,3.0,4.0,,,1
4.0,1.0,1.0,1.0,,,1
22.0,1.0,1.0,1.0,,,1
10.0,2.0,1.0,1.0,,,1
76.0,8.0,6.0,7.0,,,1
20.0,2.0,1.0,2.0,,,1
20.0,2.0,1.0,2.0,,,1
31.0,6.0,1.0,2.0,,,1
89.0,21.0,4.0,5.0,,,1
81.0,9.0,5.0,4.0,,,1
30.0,2.0,1.0,2.0,,,1
47.0,11.0,4.0,6.0,,,1
191.0,27.0,18.0,23.0,,,1
36.0,7.0,1.0,4.0,,,1
43.0,12.0,6.0,5.0,,,1
219.0,31.0,14.0,7.0,,,1
8.0,1.0,1.0,1.0,,,1
14.0,3.0,1.0,2.0,,,1
24.0,2.0,1.0,2.0,,,1
24.0,2.0,1.0,2.0,,,1
26.0,2.0,1.0,2.0,,,1
70.0,5.0,1.0,1.0,,,1
24.0,4.0,1.0,2.0,,,1
25.0,4.0,3.0,3.0,,,1
36.0,2.0,1.0,2.0,,,1
29.0,4.0,1.0,3.0,,,1
28.0,7.0,1.0,4.0,,,1
6.0,1.0,1.0,1.0,,,1
40.0,5.0,1.0,5.0,,,1
45.0,8.0,4.0,6.0,,,1
45.0,7.0,1.0,6.0,,,1
4.0,1.0,1.0,1.0,,,1
160.0,18.0,8.0,6.0,,,1
27.0,4.0,3.0,2.0,,,1
121.0,22.0,1.0,13.0,,,1
12.0,2.0,1.0,1.0,,,1
26.0,2.0,1.0,2.0,,,1
25.0,6.0,6.0,3.0,,,1
