Halstead_b,Halstead_d,Halstead_e,Halstead_i,Halstead_l,Halstead_lOBlank,Halstead_lOCode,Halstead_lOComment,Halstead_n,Halstead_t,Halstead_v,Language,McCabe_ev(g),McCabe_iv(g),McCabe_loc,McCabe_v(g),SOFTWARE,branchCount,defects,locCodeAndComment,total_Op,total_Opnd,uniq_Op,uniq_Opnd
0.05,9.0,1439.2,17.77,0.11,7,0,1,37.0,79.96,159.91,0,1.0,1.0,12.0,1.0,0,1.0,1,0,25.0,12.0,12.0,8.0
0.05,9.0,1439.2,17.77,0.11,7,0,1,37.0,79.96,159.91,0,1.0,1.0,12.0,1.0,0,1.0,1,0,25.0,12.0,12.0,8.0
1.4,77.46,324260.81,54.04,0.01,55,3,91,605.0,18014.49,4185.91,0,1.0,26.0,133.0,30.0,0,34.0,1,0,385.0,220.0,50.0,71.0
0.19,15.24,8490.44,36.57,0.07,9,0,11,104.0,471.69,557.19,0,1.0,2.0,28.0,3.0,0,5.0,1,0,72.0,32.0,20.0,21.0
1.25,51.47,192513.32,72.67,0.02,46,20,96,568.0,10695.18,3740.26,0,9.0,4.0,91.0,20.0,0,39.0,1,0,318.0,250.0,28.0,68.0
0.25,13.19,9840.36,56.52,0.08,1,0,12,129.0,546.69,745.8,0,3.0,3.0,41.0,4.0,0,7.0,1,0,79.0,50.0,19.0,36.0
1.69,29.58,150305.78,171.78,0.03,10,0,62,702.0,8350.32,5081.36,0,1.0,18.0,149.0,20.0,0,37.0,1,0,482.0,220.0,32.0,119.0
4.25,43.41,553518.63,293.68,0.02,42,45,339,1500.0,30751.03,12749.77,0,30.0,41.0,411.0,73.0,0,141.0,1,0,932.0,568.0,48.0,314.0
1.27,23.26,88801.93,164.09,0.04,16,3,29,537.0,4933.44,3817.28,0,3.0,12.0,121.0,15.0,0,29.0,1,0,316.0,221.0,24.0,114.0
1.43,51.6,220979.91,83.0,0.02,12,23,65,607.0,12276.66,4282.56,0,9.0,10.0,130.0,20.0,0,37.0,1,0,349.0,258.0,38.0,95.0
0.41,13.73,16858.82,89.42,0.07,2,14,78,201.0,936.6,1227.81,0,4.0,6.0,79.0,12.0,0,23.0,1,0,117.0,84.0,17.0,52.0
0.44,29.27,38588.27,45.05,0.03,6,6,7,213.0,2143.79,1318.43,0,1.0,7.0,57.0,9.0,0,15.0,1,0,138.0,75.0,32.0,41.0
0.45,13.6,18250.34,98.6,0.07,3,6,4,229.0,1013.91,1341.48,0,1.0,5.0,49.0,7.0,0,13.0,1,0,151.0,78.0,15.0,43.0
0.35,33.52,34816.7,30.99,0.03,9,6,6,187.0,1934.26,1038.71,0,5.0,1.0,58.0,10.0,0,19.0,1,0,104.0,83.0,21.0,26.0
0.28,18.67,15592.09,44.75,0.05,40,2,11,148.0,866.23,835.29,0,1.0,3.0,28.0,3.0,0,5.0,1,0,92.0,56.0,20.0,30.0
0.05,7.33,1204.38,22.4,0.14,0,2,0,38.0,66.91,164.23,0,1.0,3.0,13.0,3.0,0,5.0,1,0,26.0,12.0,11.0,9.0
0.66,21.94,43721.41,90.85,0.05,25,6,39,307.0,2428.97,1993.0,0,1.0,7.0,71.0,8.0,0,15.0,1,0,199.0,108.0,26.0,64.0
0.19,15.43,8872.37,37.27,0.06,27,1,19,114.0,492.91,575.06,0,1.0,2.0,22.0,2.0,0,3.0,1,0,60.0,54.0,12.0,21.0
0.15,12.55,5531.32,35.13,0.08,9,0,17,84.0,307.3,440.83,0,5.0,3.0,22.0,5.0,0,9.0,1,0,53.0,31.0,17.0,21.0
0.77,22.14,51324.87,104.75,0.05,32,16,23,349.0,2851.38,2318.71,0,1.0,7.0,59.0,7.0,0,13.0,1,0,223.0,126.0,26.0,74.0
0.19,12.0,6732.92,46.76,0.08,10,1,3,118.0,374.05,561.08,0,1.0,1.0,19.0,1.0,0,1.0,1,0,61.0,57.0,8.0,19.0
0.87,47.6,123914.45,54.69,0.02,30,4,62,402.0,6884.14,2603.24,0,9.0,19.0,89.0,24.0,0,32.0,1,0,248.0,154.0,34.0,55.0
0.22,18.57,12037.08,34.91,0.05,13,3,24,121.0,668.73,648.26,0,1.0,4.0,32.0,4.0,0,7.0,1,0,78.0,43.0,19.0,22.0
0.76,36.74,83581.43,61.92,0.03,31,7,28,354.0,4643.41,2274.9,0,11.0,9.0,74.0,11.0,0,21.0,1,0,230.0,124.0,32.0,54.0
0.19,22.75,13060.92,25.24,0.04,17,0,4,117.0,725.61,574.11,0,1.0,4.0,32.0,4.0,0,5.0,1,0,65.0,52.0,14.0,16.0
1.12,64.92,218524.86,51.85,0.02,51,9,73,516.0,12140.27,3366.16,0,9.0,10.0,107.0,18.0,0,35.0,1,0,323.0,193.0,37.0,55.0
0.04,5.63,689.76,21.8,0.18,0,0,0,30.0,38.32,122.62,0,1.0,1.0,7.0,1.0,0,1.0,1,0,20.0,10.0,9.0,8.0
0.15,9.64,4237.49,45.57,0.1,12,2,22,85.0,235.42,439.44,0,1.0,1.0,19.0,3.0,0,5.0,1,0,58.0,27.0,15.0,21.0
0.1,9.47,2815.15,31.39,0.11,14,3,34,60.0,156.4,297.25,0,1.0,3.0,18.0,3.0,0,5.0,1,0,37.0,23.0,14.0,17.0
0.15,11.08,4871.43,39.66,0.09,10,3,11,81.0,270.63,439.53,0,1.0,3.0,22.0,3.0,0,5.0,1,0,53.0,28.0,19.0,24.0
0.11,10.5,3474.19,31.51,0.1,8,2,19,64.0,193.01,330.88,0,1.0,3.0,20.0,3.0,0,5.0,1,0,43.0,21.0,18.0,18.0
0.03,5.0,518.63,20.75,0.2,7,0,7,24.0,28.81,103.73,0,1.0,1.0,8.0,1.0,0,1.0,1,0,14.0,10.0,10.0,10.0
0.32,13.06,12685.78,74.36,0.08,10,2,31,159.0,704.77,971.26,0,4.0,7.0,44.0,8.0,0,15.0,1,0,95.0,64.0,20.0,49.0
1.39,21.41,89412.4,195.05,0.05,4,4,18,591.0,4967.36,4176.06,0,7.0,16.0,91.0,18.0,0,35.0,1,0,373.0,218.0,22.0,112.0
0.52,28.0,43785.9,55.85,0.04,2,2,13,256.0,2432.55,1563.78,0,1.0,3.0,47.0,3.0,0,5.0,1,0,144.0,112.0,23.0,46.0
0.2,19.13,11241.58,30.72,0.05,4,1,7,107.0,624.53,587.63,0,3.0,3.0,24.0,4.0,0,7.0,1,0,67.0,40.0,22.0,23.0
1.05,44.71,141084.24,70.59,0.02,35,9,59,475.0,7838.01,3155.83,0,3.0,10.0,82.0,11.0,0,21.0,1,0,285.0,190.0,32.0,68.0
0.05,6.5,977.69,23.14,0.15,4,1,12,32.0,54.32,150.41,0,1.0,1.0,10.0,2.0,0,3.0,1,0,19.0,13.0,13.0,13.0
0.19,16.09,9078.38,35.08,0.06,0,2,7,104.0,504.35,564.33,0,5.0,5.0,28.0,6.0,0,11.0,1,0,67.0,37.0,20.0,23.0
1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,1.0,1.0,1.0
0.38,20.31,23029.1,55.85,0.05,8,51,10,198.0,1279.39,1134.13,0,1.0,6.0,72.0,7.0,1,13.0,1,1,112.0,86.0,17.0,36.0
1.45,17.06,74202.67,254.87,0.06,28,129,29,600.0,4122.37,4348.76,0,1.0,3.0,190.0,3.0,1,5.0,1,2,329.0,271.0,17.0,135.0
0.2,17.19,10297.3,34.86,0.06,6,28,1,126.0,572.07,599.12,0,1.0,4.0,37.0,4.0,1,7.0,1,0,76.0,50.0,11.0,16.0
0.19,12.25,7135.87,47.55,0.08,5,19,0,111.0,396.44,582.52,0,1.0,2.0,31.0,2.0,1,3.0,1,0,69.0,42.0,14.0,24.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,5.0,4.0,78.0,9.0,1,17.0,1,0,0.0,0.0,0.0,0.0
0.02,2.8,142.01,18.11,0.36,1,5,0,16.0,7.89,50.72,0,1.0,1.0,8.0,1.0,1,1.0,1,0,9.0,7.0,4.0,5.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,2.0,24.0,2.0,1,3.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,20.0,10.0,143.0,22.0,1,43.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,4.0,6.0,73.0,10.0,1,19.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,10.0,7.0,83.0,11.0,1,21.0,1,0,0.0,0.0,0.0,0.0
0.06,6.87,1150.68,24.34,0.15,2,8,0,37.0,63.93,167.37,0,1.0,1.0,12.0,3.0,1,5.0,1,0,22.0,15.0,11.0,12.0
0.23,17.35,12067.3,40.1,0.06,16,29,1,129.0,670.41,695.61,0,1.0,4.0,48.0,4.0,1,7.0,1,0,87.0,42.0,19.0,23.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,5.0,68.0,8.0,1,15.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,10.0,8.0,138.0,22.0,1,43.0,1,0,0.0,0.0,0.0,0.0
0.01,2.0,54.0,13.5,0.5,6,2,0,9.0,3.0,27.0,0,1.0,1.0,10.0,1.0,1,1.0,1,0,5.0,4.0,4.0,4.0
3.22,97.0,938311.06,99.72,0.01,17,139,92,1469.0,52128.39,9673.31,0,34.0,16.0,250.0,49.0,1,97.0,1,0,1081.0,388.0,32.0,64.0
0.39,40.95,47536.38,28.35,0.02,16,59,0,284.0,2640.91,1160.84,0,1.0,1.0,77.0,8.0,1,15.0,1,0,167.0,117.0,7.0,10.0
0.57,32.64,55961.02,52.53,0.03,14,69,0,277.0,3108.95,1714.58,0,1.0,7.0,85.0,9.0,1,13.0,1,0,161.0,118.0,26.0,47.0
0.69,33.41,69127.22,61.94,0.03,14,81,13,322.0,3840.4,2069.26,0,13.0,8.0,110.0,17.0,1,33.0,1,0,176.0,146.0,27.0,59.0
0.31,25.33,23506.58,36.63,0.04,13,34,0,171.0,1305.92,927.89,0,6.0,3.0,49.0,6.0,1,11.0,1,0,107.0,64.0,19.0,24.0
1.1,42.56,140300.03,77.45,0.02,16,164,1,526.0,7794.45,3296.33,0,26.0,16.0,187.0,35.0,1,69.0,1,0,299.0,227.0,21.0,56.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,6.0,3.0,27.0,6.0,1,11.0,1,0,0.0,0.0,0.0,0.0
0.22,20.53,13824.9,32.8,0.05,7,29,0,145.0,768.05,673.36,0,1.0,3.0,38.0,8.0,1,15.0,1,0,72.0,73.0,9.0,16.0
1.94,40.88,237606.8,142.15,0.02,26,223,41,814.0,13200.38,5811.59,0,33.0,24.0,294.0,43.0,1,85.0,1,2,484.0,330.0,28.0,113.0
0.16,12.04,5599.99,38.63,0.08,6,21,0,88.0,311.11,465.12,0,1.0,3.0,29.0,3.0,1,5.0,1,0,45.0,43.0,14.0,25.0
1.62,33.11,160969.13,146.86,0.03,23,123,11,698.0,8942.73,4862.12,0,4.0,3.0,160.0,5.0,1,9.0,1,1,388.0,310.0,22.0,103.0
0.41,34.52,42683.63,35.83,0.03,6,66,19,218.0,2371.31,1236.59,0,9.0,5.0,94.0,16.0,1,31.0,1,1,127.0,91.0,22.0,29.0
0.31,13.09,12140.27,70.84,0.08,9,34,1,157.0,674.46,927.38,0,1.0,3.0,48.0,3.0,1,5.0,1,0,85.0,72.0,16.0,44.0
0.04,5.2,672.19,24.86,0.19,3,8,1,31.0,37.34,129.27,0,1.0,2.0,14.0,2.0,1,3.0,1,0,18.0,13.0,8.0,10.0
0.2,16.67,9916.61,35.7,0.06,4,26,0,116.0,550.92,595.0,0,4.0,4.0,32.0,6.0,1,11.0,1,0,66.0,50.0,14.0,21.0
0.01,2.0,54.0,13.5,0.5,6,2,0,9.0,3.0,27.0,0,1.0,1.0,11.0,1.0,1,1.0,1,0,5.0,4.0,4.0,4.0
0.04,9.0,1062.25,13.11,0.11,0,13,4,31.0,59.01,118.03,0,1.0,1.0,20.0,3.0,1,5.0,1,0,21.0,10.0,9.0,5.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,1.0,39.0,1.0,1,1.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,21.0,8.0,63.0,21.0,1,41.0,1,0,0.0,0.0,0.0,0.0
0.36,28.21,30254.54,38.01,0.04,19,45,6,192.0,1680.81,1072.31,0,1.0,5.0,78.0,6.0,1,11.0,1,6,113.0,79.0,20.0,28.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,17.0,19.0,209.0,26.0,1,47.0,1,0,0.0,0.0,0.0,0.0
0.03,6.0,492.27,13.67,0.17,0,4,0,21.0,27.35,82.04,0,1.0,1.0,6.0,2.0,1,3.0,1,0,15.0,6.0,10.0,5.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,13.0,7.0,44.0,13.0,1,25.0,1,0,0.0,0.0,0.0,0.0
0.07,16.71,3756.37,13.45,0.06,4,18,0,52.0,208.69,224.74,0,1.0,1.0,24.0,3.0,1,5.0,1,0,34.0,18.0,13.0,7.0
0.08,6.0,1403.0,38.97,0.17,2,19,0,51.0,77.94,233.83,0,1.0,2.0,23.0,2.0,1,3.0,1,0,31.0,20.0,9.0,15.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,3.0,4.0,69.0,6.0,1,11.0,1,0,0.0,0.0,0.0,0.0
1.07,34.67,111762.93,93.0,0.03,16,118,7,516.0,6209.05,3223.93,0,10.0,11.0,148.0,19.0,1,37.0,1,1,308.0,208.0,19.0,57.0
0.43,33.19,43166.62,39.19,0.03,12,62,7,226.0,2398.15,1300.6,0,15.0,7.0,83.0,20.0,1,39.0,1,0,149.0,77.0,25.0,29.0
0.18,14.86,8012.03,36.3,0.07,8,36,7,106.0,445.11,539.27,0,1.0,4.0,53.0,4.0,1,7.0,1,0,58.0,48.0,13.0,21.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,12.0,4.0,97.0,15.0,1,29.0,1,0,0.0,0.0,0.0,0.0
0.12,6.46,2292.07,54.98,0.15,0,20,3,71.0,127.34,355.0,0,1.0,2.0,25.0,2.0,1,3.0,1,0,38.0,33.0,9.0,23.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,95.0,85.0,466.0,110.0,1,219.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,14.0,9.0,110.0,27.0,1,53.0,1,0,0.0,0.0,0.0,0.0
1.06,45.4,144343.07,70.04,0.02,12,92,9,491.0,8019.06,3179.59,0,18.0,11.0,113.0,19.0,1,37.0,1,0,271.0,220.0,26.0,63.0
0.62,24.96,46500.6,74.63,0.04,15,79,21,300.0,2583.37,1862.84,0,7.0,7.0,119.0,9.0,1,17.0,1,2,174.0,126.0,21.0,53.0
0.07,9.0,1939.44,23.94,0.11,2,10,0,47.0,107.75,215.49,0,1.0,2.0,15.0,3.0,1,5.0,1,1,29.0,18.0,12.0,12.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8.0,10.0,44.0,10.0,1,19.0,1,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,55.0,55.0,124.0,55.0,1,109.0,1,0,0.0,0.0,0.0,0.0
0.02,2.92,151.35,17.79,0.34,2,4,0,15.0,8.41,51.89,0,1.0,1.0,8.0,1.0,1,1.0,1,0,8.0,7.0,5.0,6.0
0.02,2.92,151.35,17.79,0.34,2,4,0,15.0,8.41,51.89,0,1.0,1.0,8.0,1.0,1,1.0,1,0,8.0,7.0,5.0,6.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,23.0,26.0,162.0,27.0,1,53.0,1,0,0.0,0.0,0.0,0.0
0.94,41.45,117259.19,68.26,0.02,9,97,0,445.0,6514.4,2829.11,0,20.0,16.0,113.0,27.0,1,53.0,1,5,256.0,189.0,25.0,57.0
0.02,2.92,151.35,17.79,0.34,2,4,0,15.0,8.41,51.89,0,1.0,1.0,8.0,1.0,1,1.0,1,0,8.0,7.0,5.0,6.0
0.02,3.0,139.52,15.5,0.33,2,4,0,14.0,7.75,46.51,0,1.0,1.0,8.0,1.0,1,1.0,1,0,8.0,6.0,5.0,5.0
0.02,4.08,256.87,15.41,0.24,1,6,0,17.0,14.27,62.91,0,1.0,1.0,9.0,2.0,1,3.0,1,0,10.0,7.0,7.0,6.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,27.0,35.0,179.0,36.0,1,71.0,1,0,0.0,0.0,0.0,0.0
1.41,34.25,144911.31,123.53,0.03,24,115,8,644.0,8050.63,4230.99,0,1.0,16.0,171.0,16.0,1,31.0,1,22,370.0,274.0,19.0,76.0
0.55,18.04,29873.71,91.8,0.06,9,62,4,273.0,1659.65,1656.04,0,11.0,15.0,77.0,15.0,1,29.0,1,0,158.0,115.0,16.0,51.0
0.02,2.92,151.35,17.79,0.34,2,4,0,15.0,8.41,51.89,0,1.0,1.0,8.0,1.0,1,1.0,1,0,8.0,7.0,5.0,6.0
0.06,8.0,1467.19,22.92,0.13,2,8,0,40.0,81.51,183.4,0,1.0,1.0,12.0,4.0,1,7.0,1,0,24.0,16.0,12.0,12.0
0.24,14.88,10538.49,47.63,0.07,6,28,6,135.0,585.47,708.47,0,1.0,4.0,42.0,9.0,1,27.0,1,0,116.0,74.0,17.0,30.0
0.12,4.59,1592.09,75.63,0.22,0,12,0,79.0,88.45,346.99,0,1.0,1.0,14.0,1.0,1,1.0,1,0,40.0,39.0,4.0,17.0
0.09,21.0,5627.15,12.76,0.05,2,15,0,62.0,312.62,267.96,0,1.0,1.0,19.0,5.0,1,9.0,1,0,34.0,28.0,12.0,8.0
0.46,33.25,45651.03,41.29,0.03,12,52,19,250.0,2536.17,1372.96,0,1.0,7.0,88.0,8.0,1,15.0,1,3,174.0,76.0,21.0,24.0
0.08,4.24,995.75,55.47,0.24,1,10,0,50.0,55.32,235.02,0,1.0,2.0,13.0,2.0,1,3.0,1,0,27.0,23.0,7.0,19.0
0.13,11.92,4723.0,33.26,0.08,14,28,1,80.0,262.39,396.34,0,1.0,4.0,46.0,4.0,1,7.0,1,0,47.0,33.0,13.0,18.0
0.86,46.42,119927.45,55.65,0.02,14,111,1,402.0,6662.64,2583.36,0,18.0,25.0,129.0,30.0,1,58.0,1,1,260.0,142.0,34.0,52.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,1.0,20.0,1.0,1,1.0,1,0,0.0,0.0,0.0,0.0
0.17,12.06,6135.2,42.19,0.08,4,16,0,107.0,340.84,508.77,0,1.0,1.0,22.0,1.0,1,1.0,1,0,66.0,41.0,10.0,17.0
0.28,12.2,10396.13,69.81,0.08,4,23,3,157.0,577.56,851.92,0,1.0,2.0,32.0,2.0,1,3.0,1,0,86.0,71.0,11.0,32.0
0.06,14.4,2467.17,11.9,0.07,2,9,0,45.0,137.06,171.33,0,1.0,1.0,13.0,1.0,1,1.0,1,0,29.0,16.0,9.0,5.0
0.03,8.33,733.33,10.56,0.12,1,9,0,22.0,40.74,88.0,0,1.0,2.0,12.0,3.0,1,5.0,1,0,12.0,10.0,10.0,6.0
0.01,3.12,108.97,11.16,0.32,1,3,0,11.0,6.05,34.87,0,1.0,1.0,6.0,1.0,1,1.0,1,0,6.0,5.0,5.0,4.0
0.04,7.43,812.63,14.73,0.13,1,13,1,28.0,45.15,109.39,0,1.0,1.0,17.0,3.0,1,5.0,1,0,15.0,13.0,8.0,7.0
0.02,4.2,225.85,12.8,0.24,0,3,0,15.0,12.55,53.77,0,1.0,1.0,5.0,1.0,1,1.0,1,0,9.0,6.0,7.0,5.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,22.0,26.0,227.0,55.0,1,109.0,1,0,0.0,0.0,0.0,0.0
0.58,32.04,55302.55,53.85,0.03,8,53,1,309.0,3072.36,1725.75,0,1.0,4.0,68.0,5.0,1,9.0,1,0,167.0,140.0,15.0,32.0
0.12,10.15,3769.56,36.59,0.1,6,23,6,73.0,209.42,371.38,0,1.0,4.0,37.0,4.0,1,7.0,1,0,44.0,29.0,14.0,20.0
0.59,34.94,61473.97,50.35,0.03,10,76,17,288.0,3415.22,1759.26,0,5.0,9.0,106.0,12.0,1,22.0,1,1,165.0,123.0,25.0,44.0
0.02,3.3,237.6,21.82,0.3,2,14,0,18.0,13.2,72.0,0,1.0,1.0,18.0,1.0,1,1.0,1,0,7.0,11.0,6.0,10.0
0.55,28.25,46222.9,57.92,0.04,17,64,17,277.0,2567.94,1636.21,0,1.0,7.0,100.0,11.0,1,21.0,1,0,164.0,113.0,20.0,40.0
0.6,26.16,47150.8,68.92,0.04,10,85,4,277.0,2619.49,1802.66,0,5.0,11.0,99.0,14.0,1,24.0,1,0,153.0,124.0,27.0,64.0
0.31,30.23,28502.18,31.19,0.03,10,37,2,176.0,1583.45,942.93,0,1.0,3.0,53.0,6.0,1,11.0,1,2,106.0,70.0,19.0,22.0
0.01,2.0,60.0,15.0,0.5,0,2,0,10.0,3.33,30.0,0,1.0,1.0,4.0,1.0,1,1.0,1,0,6.0,4.0,4.0,4.0
0.01,2.0,60.0,15.0,0.5,0,2,0,10.0,3.33,30.0,0,1.0,1.0,4.0,1.0,1,1.0,1,0,6.0,4.0,4.0,4.0
0.01,2.0,60.0,15.0,0.5,0,2,0,10.0,3.33,30.0,0,1.0,1.0,4.0,1.0,1,1.0,1,0,6.0,4.0,4.0,4.0
0.01,2.0,60.0,15.0,0.5,0,2,0,10.0,3.33,30.0,0,1.0,1.0,4.0,1.0,1,1.0,1,0,6.0,4.0,4.0,4.0
0.01,2.0,60.0,15.0,0.5,0,2,0,10.0,3.33,30.0,0,1.0,1.0,4.0,1.0,1,1.0,1,0,6.0,4.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,5.0,3.0,50.0,5.0,1,9.0,1,0,0.0,0.0,0.0,0.0
0.03,8.0,656.36,10.26,0.13,3,7,2,21.0,36.46,82.04,0,1.0,1.0,14.0,3.0,1,5.0,1,0,13.0,8.0,10.0,5.0
0.04,9.17,1100.0,13.09,0.11,1,8,0,30.0,61.11,120.0,0,1.0,1.0,11.0,2.0,1,3.0,1,0,19.0,11.0,10.0,6.0
1.01,24.66,74486.0,122.46,0.04,37,107,28,448.0,4138.1,3020.18,0,11.0,7.0,174.0,15.0,1,29.0,1,0,246.0,202.0,21.0,86.0
0.16,10.71,5201.91,45.31,0.09,2,29,0,98.0,288.99,485.51,0,1.0,3.0,33.0,4.0,1,7.0,1,0,53.0,45.0,10.0,21.0
0.01,2.5,60.0,9.6,0.4,0,2,0,8.0,3.33,24.0,0,1.0,1.0,4.0,1.0,1,1.0,1,0,5.0,3.0,5.0,3.0
0.08,7.8,1840.8,30.26,0.13,2,9,0,59.0,102.27,236.0,0,1.0,2.0,13.0,2.0,1,3.0,1,0,33.0,26.0,6.0,10.0
0.77,18.58,43059.58,124.77,0.05,24,92,14,352.0,2392.2,2317.91,0,1.0,9.0,135.0,11.0,1,21.0,1,3,191.0,161.0,18.0,78.0
0.25,23.76,18080.85,32.03,0.04,9,38,0,137.0,1004.49,760.98,0,3.0,5.0,49.0,6.0,1,11.0,1,0,83.0,54.0,22.0,25.0
0.42,27.36,34716.98,46.38,0.04,2,40,1,226.0,1928.72,1268.92,0,1.0,3.0,45.0,6.0,1,11.0,1,0,123.0,103.0,17.0,32.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,4.0,1.0,65.0,4.0,1,7.0,1,0,0.0,0.0,0.0,0.0
0.24,23.38,16913.84,30.96,0.04,5,32,0,131.0,939.66,723.59,0,3.0,5.0,40.0,5.0,1,9.0,1,0,80.0,51.0,22.0,24.0
0.36,20.64,22476.1,52.77,0.05,8,34,13,195.0,1248.67,1089.07,0,5.0,7.0,59.0,7.0,1,13.0,1,2,132.0,63.0,19.0,29.0
0.19,20.5,11828.05,28.15,0.05,6,23,0,107.0,657.11,576.98,0,3.0,4.0,31.0,4.0,1,7.0,1,0,66.0,41.0,21.0,21.0
0.36,28.97,31713.43,37.8,0.03,5,36,4,195.0,1761.86,1094.87,0,9.0,5.0,45.0,9.0,1,17.0,1,0,111.0,84.0,20.0,29.0
0.11,14.86,5030.26,22.79,0.07,5,21,3,69.0,279.46,338.58,0,1.0,3.0,31.0,6.0,1,11.0,1,0,43.0,26.0,16.0,14.0
0.11,15.27,5181.53,22.21,0.07,1,17,8,75.0,287.86,339.27,0,1.0,2.0,28.0,2.0,1,3.0,1,0,47.0,28.0,12.0,11.0
0.21,20.86,13343.0,30.65,0.05,4,33,2,121.0,741.28,639.53,0,1.0,3.0,49.0,3.0,1,5.0,1,8,67.0,54.0,17.0,22.0
0.18,21.0,11464.81,26.0,0.05,5,21,1,100.0,636.93,545.94,0,3.0,4.0,30.0,5.0,1,9.0,1,1,58.0,42.0,22.0,22.0
0.89,43.15,114716.17,61.62,0.02,13,93,23,423.0,6373.12,2658.73,0,9.0,9.0,146.0,15.0,1,29.0,1,12,260.0,163.0,27.0,51.0
