Halstead_v,McCabe_loc,Halstead_i,Halstead_e,Halstead_t,total_Opnd,uniq_Opnd,total_Op,Halstead_d,Halstead_n,defects
494.94,37.0,30.93,7919.03,439.95,32.0,20.0,61.0,16.0,93.0,0
27.0,8.0,10.8,67.5,3.75,3.0,3.0,6.0,2.5,9.0,0
134.89,8.0,21.8,834.61,46.37,11.0,8.0,22.0,6.19,33.0,0
183.48,9.0,26.21,1284.34,71.35,14.0,9.0,30.0,7.0,44.0,0
140.65,9.0,17.05,1160.35,64.45,11.0,6.0,25.0,8.25,36.0,0
22.46,7.0,8.98,56.15,3.12,2.0,2.0,6.0,2.5,8.0,0
511.82,26.0,38.77,6756.06,375.34,33.0,20.0,66.0,13.2,99.0,0
97.67,7.0,16.28,586.03,32.56,8.0,6.0,17.0,6.0,25.0,0
365.32,14.0,27.99,4767.45,264.86,29.0,10.0,57.0,13.05,86.0,0
46.51,9.0,9.97,217.03,12.06,4.0,3.0,10.0,4.67,14.0,0
82.45,11.0,11.78,577.18,32.07,7.0,4.0,16.0,7.0,23.0,0
745.68,34.0,59.16,9398.15,522.12,43.0,29.0,92.0,12.6,135.0,0
34.87,7.0,9.96,122.04,6.78,2.0,2.0,9.0,3.5,11.0,0
618.27,31.0,26.31,14529.3,807.18,47.0,15.0,79.0,23.5,126.0,0
27.0,8.0,10.8,67.5,3.75,3.0,3.0,6.0,2.5,9.0,0
30.0,6.0,10.0,90.0,5.0,2.0,2.0,8.0,3.0,10.0,0
33.22,7.0,9.49,116.27,6.46,3.0,3.0,7.0,3.5,10.0,0
285.29,15.0,37.54,2168.23,120.46,19.0,15.0,41.0,7.6,60.0,0
289.51,16.0,34.64,2419.46,134.41,26.0,14.0,38.0,8.36,64.0,0
293.44,19.0,30.16,2855.37,158.63,23.0,13.0,41.0,9.73,64.0,0
5103.0,130.0,91.32,285170.84,15842.82,309.0,94.0,420.0,55.88,729.0,0
630.73,30.0,30.45,13065.14,725.84,58.0,21.0,64.0,20.71,122.0,0
771.67,34.0,64.31,9260.02,514.45,54.0,27.0,92.0,12.0,146.0,0
1299.55,20.0,28.25,59779.23,3321.07,76.0,19.0,165.0,46.0,241.0,0
252.01,17.0,17.53,3622.63,201.26,23.0,12.0,30.0,14.38,53.0,0
252.01,17.0,17.53,3622.63,201.26,23.0,12.0,30.0,14.38,53.0,0
1125.09,26.0,48.87,25900.42,1438.91,65.0,24.0,145.0,23.02,210.0,0
69.74,10.0,12.4,392.28,21.79,9.0,4.0,13.0,5.63,22.0,0
36.54,6.0,12.18,109.62,6.09,4.0,4.0,7.0,3.0,11.0,0
30.88,8.0,11.58,82.35,4.57,4.0,3.0,7.0,2.67,11.0,0
2692.19,93.0,56.02,129374.54,7187.47,173.0,63.0,234.0,48.06,407.0,0
5664.24,128.0,104.25,307757.08,17097.62,326.0,108.0,464.0,54.33,790.0,0
551.83,28.0,47.22,6449.49,358.3,33.0,24.0,70.0,11.69,103.0,0
312.75,19.0,33.23,2943.55,163.53,20.0,17.0,42.0,9.41,62.0,0
282.39,19.0,31.71,2515.03,139.72,19.0,16.0,38.0,8.91,57.0,0
298.06,21.0,34.56,2570.73,142.82,23.0,16.0,39.0,8.63,62.0,0
5143.61,154.0,133.35,198396.43,11022.02,285.0,133.0,410.0,38.57,695.0,0
3131.59,125.0,77.8,126046.47,7002.58,168.0,96.0,270.0,40.25,438.0,0
100.08,14.0,12.74,786.33,43.68,10.0,7.0,14.0,7.86,24.0,0
4697.07,127.0,129.72,170066.5,9448.14,252.0,87.0,438.0,36.21,690.0,0
110.41,12.0,33.12,368.04,20.45,12.0,9.0,17.0,3.33,29.0,0
372.23,18.0,32.0,4329.68,240.54,26.0,19.0,46.0,11.63,72.0,0
452.78,20.0,39.18,5232.17,290.68,26.0,18.0,63.0,11.56,89.0,0
851.67,36.0,48.31,15014.65,834.15,56.0,27.0,100.0,17.63,156.0,0
3442.98,160.0,151.5,78244.98,4346.94,163.0,104.0,325.0,22.73,488.0,0
1980.76,47.0,105.02,37359.42,2075.52,97.0,54.0,221.0,18.86,318.0,0
15.51,6.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
15.51,6.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
892.43,38.0,60.5,13163.37,731.3,59.0,38.0,94.0,14.75,153.0,0
15.51,6.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
75.28,12.0,37.64,150.57,8.36,8.0,8.0,13.0,2.0,21.0,0
92.51,12.0,34.69,246.7,13.71,12.0,9.0,13.0,2.67,25.0,0
92.51,9.0,34.69,246.7,13.71,12.0,9.0,13.0,2.67,25.0,0
1472.15,41.0,93.81,23101.5,1283.42,96.0,52.0,145.0,15.69,241.0,0
852.22,30.0,58.05,12512.17,695.12,57.0,33.0,94.0,14.68,151.0,0
19.65,6.0,7.86,49.13,2.73,2.0,2.0,5.0,2.5,7.0,0
288.85,20.0,13.75,6065.91,336.99,21.0,8.0,42.0,21.0,63.0,0
5575.99,149.0,118.83,261640.64,14535.59,333.0,110.0,448.0,46.92,781.0,0
22.46,6.0,11.23,44.92,2.5,3.0,3.0,5.0,2.0,8.0,0
353.11,16.0,45.77,2723.97,151.33,27.0,21.0,43.0,7.71,70.0,0
179.72,15.0,34.23,943.51,52.42,21.0,10.0,25.0,5.25,46.0,0
298.21,13.0,19.24,4622.3,256.79,31.0,10.0,38.0,15.5,69.0,0
44.97,6.0,12.85,157.4,8.74,4.0,4.0,9.0,3.5,13.0,0
151.24,14.0,16.29,1404.34,78.02,13.0,7.0,24.0,9.29,37.0,0
151.24,14.0,16.29,1404.34,78.02,13.0,7.0,24.0,9.29,37.0,0
744.63,27.0,61.85,8964.95,498.05,61.0,38.0,69.0,12.04,130.0,0
300.0,19.0,31.58,2850.0,158.33,19.0,16.0,41.0,9.5,60.0,0
525.0,21.0,22.83,12075.0,670.83,46.0,16.0,59.0,23.0,105.0,0
43.19,6.0,11.52,161.94,9.0,5.0,4.0,8.0,3.75,13.0,0
185.75,16.0,24.32,1418.49,78.8,12.0,11.0,28.0,7.64,40.0,0
1738.63,55.0,52.18,57931.89,3218.44,113.0,39.0,179.0,33.32,292.0,0
11.61,6.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
62.27,9.0,27.24,142.33,7.91,8.0,7.0,10.0,2.29,18.0,0
110.41,12.0,33.12,368.04,20.45,12.0,9.0,17.0,3.33,29.0,0
92.51,12.0,34.69,246.7,13.71,12.0,9.0,13.0,2.67,25.0,0
2746.2,69.0,75.09,100429.38,5579.41,151.0,64.0,267.0,36.57,418.0,0
4677.38,138.0,171.89,127275.78,7070.88,250.0,147.0,375.0,27.21,625.0,0
15.51,6.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
15.51,6.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
1573.33,72.0,86.16,28729.02,1596.06,83.0,50.0,172.0,18.26,255.0,0
8.0,6.0,5.33,12.0,0.67,1.0,1.0,3.0,1.5,4.0,0
11.61,6.0,5.8,23.22,1.29,1.0,1.0,4.0,2.0,5.0,0
19.65,6.0,7.86,49.13,2.73,2.0,2.0,5.0,2.5,7.0,0
27.0,6.0,10.8,67.5,3.75,3.0,3.0,6.0,2.5,9.0,0
73.08,11.0,34.11,156.61,8.7,10.0,7.0,12.0,2.14,22.0,0
396.41,23.0,34.26,4586.97,254.83,27.0,21.0,48.0,11.57,75.0,0
221.65,17.0,57.09,860.54,47.81,22.0,17.0,27.0,3.88,49.0,0
919.26,60.0,66.12,12780.02,710.0,57.0,41.0,98.0,13.9,155.0,0
360.0,32.0,27.2,4764.71,264.71,30.0,17.0,42.0,13.24,72.0,0
144.95,16.0,13.72,1531.0,85.06,13.0,8.0,20.0,10.56,33.0,0
1316.03,42.0,94.81,18268.21,1014.9,91.0,59.0,119.0,13.88,210.0,0
22.46,6.0,11.23,44.92,2.5,3.0,3.0,5.0,2.0,8.0,0
328.76,14.0,28.66,3771.09,209.5,30.0,17.0,37.0,11.47,67.0,0
456.57,27.0,54.96,3793.04,210.72,36.0,26.0,51.0,8.31,87.0,0
88.81,8.0,12.33,639.44,35.52,9.0,5.0,15.0,7.2,24.0,0
39.0,7.0,13.0,117.0,6.5,6.0,4.0,7.0,3.0,13.0,0
284.61,31.0,14.28,5674.43,315.25,29.0,8.0,38.0,19.94,67.0,0
39.86,8.0,8.54,186.03,10.33,4.0,3.0,8.0,4.67,12.0,0
116.0,11.0,10.71,1256.67,69.81,13.0,6.0,16.0,10.83,29.0,0
8.0,6.0,5.33,12.0,0.67,1.0,1.0,3.0,1.5,4.0,0
74.01,13.0,21.15,259.02,14.39,6.0,6.0,14.0,3.5,20.0,0
31.7,6.0,10.57,95.1,5.28,3.0,3.0,7.0,3.0,10.0,0
421.97,22.0,36.77,4842.06,269.0,27.0,20.0,54.0,11.48,81.0,0
508.75,29.0,20.08,12888.24,716.01,40.0,15.0,60.0,25.33,100.0,0
366.41,9.0,18.12,7409.59,411.64,26.0,9.0,55.0,20.22,81.0,0
675.0,16.0,27.7,16447.5,913.75,43.0,15.0,92.0,24.37,135.0,0
2643.35,92.0,46.37,150670.96,8370.61,192.0,32.0,274.0,57.0,466.0,0
369.21,18.0,24.0,5680.1,315.56,25.0,13.0,51.0,15.38,76.0,0
1005.29,36.0,46.84,21576.47,1198.69,61.0,27.0,121.0,21.46,182.0,0
28.53,5.0,9.51,85.59,4.75,3.0,3.0,6.0,3.0,9.0,0
341.84,22.0,24.31,4807.12,267.06,30.0,16.0,39.0,14.06,69.0,0
18.09,3.0,7.24,45.24,2.51,1.0,1.0,6.0,2.5,7.0,0
105.49,7.0,8.79,1265.83,70.32,12.0,5.0,15.0,12.0,27.0,0
48.43,3.0,11.07,211.89,11.77,5.0,4.0,9.0,4.38,14.0,0
110.41,7.0,22.65,538.26,29.9,13.0,8.0,16.0,4.88,29.0,0
170.97,9.0,12.09,2417.96,134.33,18.0,7.0,23.0,14.14,41.0,0
215.22,11.0,14.67,3156.61,175.37,22.0,9.0,27.0,14.67,49.0,0
39.0,4.0,13.0,117.0,6.5,6.0,4.0,7.0,3.0,13.0,0
19.65,3.0,7.86,49.13,2.73,2.0,2.0,5.0,2.5,7.0,0
1149.16,30.0,45.35,29117.23,1617.62,75.0,37.0,118.0,25.34,193.0,0
11.61,5.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
591.46,16.0,22.84,15315.78,850.88,41.0,19.0,68.0,25.89,109.0,0
11.61,5.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
591.46,15.0,22.84,15315.78,850.88,41.0,19.0,68.0,25.89,109.0,0
2609.12,40.0,83.37,81653.73,4536.32,153.0,66.0,246.0,31.3,399.0,0
11.61,5.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
11.61,5.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
516.99,12.0,33.99,7863.73,436.87,34.0,19.0,66.0,15.21,100.0,0
15.51,5.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
2490.74,44.0,71.49,86774.3,4820.79,135.0,62.0,245.0,34.84,380.0,0
734.53,31.0,44.36,12163.87,675.77,69.0,25.0,72.0,16.56,141.0,0
503.61,22.0,25.24,10047.02,558.17,38.0,20.0,56.0,19.95,94.0,0
666.05,20.0,46.13,9617.77,534.32,38.0,25.0,84.0,14.44,122.0,0
801.91,27.0,53.81,11951.03,663.95,42.0,31.0,98.0,14.9,140.0,0
121.01,6.0,24.2,605.07,33.61,10.0,10.0,18.0,5.0,28.0,0
759.68,25.0,49.18,11735.7,651.98,64.0,29.0,76.0,15.45,140.0,0
206.32,10.0,21.05,2021.97,112.33,14.0,10.0,31.0,9.8,45.0,0
206.32,10.0,21.05,2021.97,112.33,14.0,10.0,31.0,9.8,45.0,0
11.61,5.0,5.8,23.22,1.29,1.0,1.0,4.0,2.0,5.0,0
266.27,14.0,30.91,2294.05,127.45,16.0,13.0,40.0,8.62,56.0,0
526.35,20.0,47.35,5850.56,325.03,34.0,26.0,63.0,11.12,97.0,0
809.46,28.0,55.58,11789.43,654.97,43.0,31.0,99.0,14.56,142.0,0
34.87,3.0,9.96,122.04,6.78,2.0,2.0,9.0,3.5,11.0,0
1810.2,45.0,68.78,47644.35,2646.91,94.0,50.0,194.0,26.32,288.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
102.19,7.0,16.52,632.28,35.13,11.0,8.0,14.0,6.19,25.0,0
130.8,11.0,10.9,1569.59,87.2,10.0,5.0,22.0,12.0,32.0,0
207.45,11.0,17.29,2489.43,138.3,16.0,8.0,32.0,12.0,48.0,0
484.48,27.0,35.27,6655.21,369.73,29.0,19.0,64.0,13.74,93.0,0
104.0,10.0,15.6,693.33,38.52,8.0,6.0,18.0,6.67,26.0,0
110.36,9.0,13.38,910.48,50.58,9.0,6.0,18.0,8.25,27.0,0
185.84,9.0,20.27,1703.56,94.64,15.0,9.0,28.0,9.17,43.0,0
147.15,20.0,10.03,2158.18,119.9,16.0,6.0,20.0,14.67,36.0,0
3428.87,98.0,125.84,93428.15,5190.45,172.0,101.0,314.0,27.25,486.0,0
5588.41,172.0,243.12,128457.87,7136.55,252.0,148.0,498.0,22.99,750.0,0
216.1,6.0,38.22,1221.78,67.88,21.0,13.0,29.0,5.65,50.0,0
1619.65,43.0,84.37,31093.83,1727.43,97.0,48.0,170.0,19.2,267.0,0
916.14,36.0,37.89,22153.96,1230.78,56.0,22.0,115.0,24.18,171.0,0
472.09,21.0,49.79,4476.07,248.67,32.0,27.0,55.0,9.48,87.0,0
92.0,6.0,17.89,473.14,26.29,8.0,7.0,15.0,5.14,23.0,0
51.81,5.0,11.51,233.13,12.95,4.0,4.0,10.0,4.5,14.0,0
53.3,5.0,11.85,239.86,13.33,5.0,5.0,9.0,4.5,14.0,0
162.63,8.0,20.02,1321.34,73.41,13.0,8.0,26.0,8.13,39.0,0
143.06,6.0,21.19,965.66,53.65,12.0,8.0,23.0,6.75,35.0,0
474.06,16.0,24.42,9202.35,511.24,33.0,17.0,58.0,19.41,91.0,0
167.37,14.0,16.09,1740.67,96.7,16.0,10.0,21.0,10.4,37.0,0
3289.76,88.0,67.42,160516.7,8917.59,207.0,70.0,285.0,48.79,492.0,0
912.7,29.0,49.27,16907.83,939.32,57.0,40.0,94.0,18.53,151.0,0
5767.59,60.0,78.9,421634.86,23424.16,319.0,96.0,490.0,73.1,809.0,0
2220.21,52.0,47.58,103609.98,5756.11,140.0,54.0,202.0,46.67,342.0,0
76.0,7.0,16.89,342.0,19.0,9.0,8.0,10.0,4.5,19.0,0
146.95,8.0,29.39,734.73,40.82,15.0,12.0,19.0,5.0,34.0,0
507.8,20.0,61.55,4189.34,232.74,36.0,24.0,63.0,8.25,99.0,0
707.82,29.0,29.49,16987.59,943.76,48.0,20.0,85.0,24.0,133.0,0
114.45,9.0,16.02,817.49,45.42,10.0,7.0,18.0,7.14,28.0,0
264.4,15.0,22.03,3172.85,176.27,18.0,12.0,37.0,12.0,55.0,0
239.72,14.0,25.23,2277.36,126.52,19.0,13.0,32.0,9.5,51.0,0
215.49,22.0,26.81,1732.23,96.24,19.0,13.0,28.0,8.03,47.0,0
1626.88,63.0,45.89,57670.7,3203.93,79.0,39.0,183.0,35.45,262.0,0
178.38,9.0,24.7,1288.28,71.57,10.0,9.0,30.0,7.22,40.0,0
173.92,9.0,24.08,1256.07,69.78,10.0,9.0,29.0,7.22,39.0,0
340.0,17.0,25.0,4624.0,256.89,24.0,15.0,44.0,13.6,68.0,0
70.31,9.0,14.65,337.48,18.75,6.0,5.0,13.0,4.8,19.0,0
294.8,10.0,23.58,3685.04,204.72,20.0,12.0,42.0,12.5,62.0,0
11.61,3.0,5.8,23.22,1.29,1.0,1.0,4.0,2.0,5.0,0
124.0,9.0,19.29,797.14,44.29,10.0,7.0,21.0,6.43,31.0,0
4887.38,101.0,75.56,316115.55,17561.98,264.0,100.0,413.0,64.68,677.0,0
3695.31,29.0,76.91,177559.52,9864.42,217.0,70.0,338.0,48.05,555.0,0
1092.77,22.0,37.1,32187.18,1788.18,72.0,33.0,113.0,29.45,185.0,0
2739.78,106.0,101.31,74089.87,4116.1,192.0,71.0,229.0,27.04,421.0,0
454.54,21.0,40.4,5113.63,284.09,36.0,24.0,50.0,11.25,86.0,0
162.52,10.0,22.35,1181.93,65.66,16.0,11.0,21.0,7.27,37.0,0
718.97,17.0,29.6,17460.6,970.03,60.0,21.0,77.0,24.29,137.0,0
337.6,13.0,25.58,4456.28,247.57,33.0,15.0,38.0,13.2,71.0,0
11.61,4.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
2312.59,49.0,41.58,128629.96,7146.11,147.0,37.0,237.0,55.62,384.0,0
2312.59,49.0,41.58,128629.96,7146.11,147.0,37.0,237.0,55.62,384.0,0
2272.66,55.0,45.69,113051.62,6280.65,138.0,43.0,228.0,49.74,366.0,0
2272.66,55.0,45.69,113051.62,6280.65,138.0,43.0,228.0,49.74,366.0,0
620.39,17.0,26.43,14560.94,808.94,42.0,17.0,78.0,23.47,120.0,0
620.39,17.0,26.43,14560.94,808.94,42.0,17.0,78.0,23.47,120.0,0
671.25,20.0,28.99,15544.65,863.59,44.0,19.0,83.0,23.16,127.0,0
671.25,20.0,28.99,15544.65,863.59,44.0,19.0,83.0,23.16,127.0,0
2183.89,30.0,28.41,167872.07,9326.23,127.0,19.0,278.0,76.87,405.0,0
3190.77,45.0,33.36,305225.84,16956.99,183.0,22.0,398.0,95.66,581.0,0
1299.55,20.0,28.25,59779.23,3321.07,76.0,19.0,165.0,46.0,241.0,0
1905.86,41.0,49.14,73923.53,4106.85,107.0,40.0,205.0,38.79,312.0,0
1252.14,25.0,46.31,33856.01,1880.89,74.0,26.0,154.0,27.04,228.0,0
602.54,22.0,27.26,13319.21,739.96,42.0,19.0,72.0,22.11,114.0,0
1453.01,41.0,61.36,34405.27,1911.4,117.0,42.0,130.0,23.68,247.0,0
1758.75,48.0,71.01,43561.75,2420.1,107.0,54.0,172.0,24.77,279.0,0
355.74,24.0,30.54,4143.37,230.19,36.0,17.0,38.0,11.65,74.0,0
480.56,25.0,21.39,10795.37,599.74,37.0,14.0,60.0,22.46,97.0,0
5219.89,176.0,140.31,194194.61,10788.59,280.0,143.0,416.0,37.2,696.0,0
75.28,10.0,10.75,526.99,29.28,7.0,4.0,14.0,7.0,21.0,0
2203.49,66.0,76.03,63864.99,3548.06,136.0,61.0,206.0,28.98,342.0,0
744.63,32.0,45.51,12184.85,676.94,54.0,33.0,76.0,16.36,130.0,0
364.66,18.0,35.45,3750.81,208.38,27.0,21.0,43.0,10.29,70.0,0
19.65,3.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
218.72,14.0,15.83,3022.38,167.91,19.0,11.0,27.0,13.82,46.0,0
768.92,29.0,39.73,14882.34,826.8,50.0,31.0,83.0,19.35,133.0,0
2414.97,104.0,58.36,99929.77,5551.65,150.0,58.0,222.0,41.38,372.0,0
1130.3,68.0,52.05,24543.69,1363.54,76.0,42.0,111.0,21.71,187.0,0
18.09,7.0,9.05,36.19,2.0,2.0,2.0,5.0,2.0,7.0,0
567.78,21.0,31.79,10140.57,563.36,47.0,25.0,57.0,17.86,104.0,0
103.73,10.0,20.75,518.63,28.81,10.0,10.0,14.0,5.0,24.0,0
366.61,19.0,37.6,3574.45,198.58,27.0,18.0,47.0,9.75,74.0,0
34.87,7.0,9.96,122.04,6.78,2.0,2.0,9.0,3.5,11.0,0
36.54,8.0,10.44,127.89,7.11,3.0,3.0,8.0,3.5,11.0,0
36.54,8.0,12.18,109.62,6.09,4.0,4.0,7.0,3.0,11.0,0
36.54,8.0,12.18,109.62,6.09,4.0,4.0,7.0,3.0,11.0,0
261.33,19.0,24.71,2764.2,153.57,25.0,13.0,32.0,10.58,57.0,0
87.57,10.0,16.21,472.87,26.27,6.0,5.0,17.0,5.4,23.0,0
155.42,11.0,24.87,971.37,53.96,20.0,8.0,22.0,6.25,42.0,0
