Halstead_n,Halstead_v,Halstead_l,Halstead_d,Halstead_i,Halstead_e,Halstead_b,Halstead_t,Halstead_lOCode,Halstead_lOComment,Halstead_lOBlank,SOFTWARE,defects
32.0,125.02,0.16,6.13,20.41,765.75,0.04,42.54,0,2,5,0,0
73.0,358.2,0.11,9.0,39.8,3223.83,0.12,179.1,10,6,9,0,0
33.0,142.62,0.16,6.11,23.34,871.59,0.05,48.42,0,4,4,0,0
41.0,174.17,0.1,9.63,18.1,1676.34,0.06,93.13,0,0,3,0,0
42.0,192.57,0.11,9.1,21.16,1752.37,0.06,97.35,0,13,5,0,0
95.0,521.73,0.06,18.12,28.78,9456.28,0.17,525.35,3,5,22,0,0
110.0,604.1,0.06,17.25,35.02,10420.79,0.2,578.93,3,15,19,0,0
10.0,28.07,0.5,2.0,14.04,56.15,0.01,3.12,0,1,5,0,0
93.0,494.94,0.06,16.0,30.93,7919.03,0.16,439.95,2,28,12,0,0
9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,0
33.0,134.89,0.16,6.19,21.8,834.61,0.04,46.37,0,2,6,0,0
44.0,183.48,0.14,7.0,26.21,1284.34,0.06,71.35,1,5,5,0,0
36.0,140.65,0.12,8.25,17.05,1160.35,0.05,64.45,0,5,3,0,0
8.0,22.46,0.4,2.5,8.98,56.15,0.01,3.12,0,1,2,0,0
99.0,511.82,0.08,13.2,38.77,6756.06,0.17,375.34,0,6,5,0,0
25.0,97.67,0.17,6.0,16.28,586.03,0.03,32.56,0,2,5,0,0
86.0,365.32,0.08,13.05,27.99,4767.45,0.12,264.86,0,6,5,0,0
14.0,46.51,0.21,4.67,9.97,217.03,0.02,12.06,0,0,4,0,0
23.0,82.45,0.14,7.0,11.78,577.18,0.03,32.07,0,0,5,0,0
135.0,745.68,0.08,12.6,59.16,9398.15,0.25,522.12,0,8,6,0,0
11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,1,4,0,0
126.0,618.27,0.04,23.5,26.31,14529.3,0.21,807.18,2,30,21,0,0
9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,1,2,0,0
10.0,30.0,0.33,3.0,10.0,90.0,0.01,5.0,0,0,2,0,0
10.0,33.22,0.29,3.5,9.49,116.27,0.01,6.46,0,0,2,0,0
60.0,285.29,0.13,7.6,37.54,2168.23,0.1,120.46,0,0,7,0,0
64.0,289.51,0.12,8.36,34.64,2419.46,0.1,134.41,0,0,7,0,0
64.0,293.44,0.1,9.73,30.16,2855.37,0.1,158.63,0,1,13,0,0
729.0,5103.0,0.02,55.88,91.32,285170.84,1.7,15842.82,45,13,53,0,0
122.0,630.73,0.05,20.71,30.45,13065.14,0.21,725.84,3,3,12,0,0
146.0,771.67,0.08,12.0,64.31,9260.02,0.26,514.45,4,0,10,0,0
241.0,1299.55,0.02,46.0,28.25,59779.23,0.43,3321.07,1,6,6,0,0
53.0,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0,0,7,0,0
53.0,252.01,0.07,14.38,17.53,3622.63,0.08,201.26,0,0,6,0,0
210.0,1125.09,0.04,23.02,48.87,25900.42,0.38,1438.91,0,5,3,0,0
22.0,69.74,0.18,5.63,12.4,392.28,0.02,21.79,0,0,0,0,0
11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,0
11.0,30.88,0.38,2.67,11.58,82.35,0.01,4.57,0,0,3,0,0
407.0,2692.19,0.02,48.06,56.02,129374.54,0.9,7187.47,13,55,24,0,0
790.0,5664.24,0.02,54.33,104.25,307757.08,1.89,17097.62,33,58,2,0,0
103.0,551.83,0.09,11.69,47.22,6449.49,0.18,358.3,0,11,1,0,0
62.0,312.75,0.11,9.41,33.23,2943.55,0.1,163.53,0,3,1,0,0
57.0,282.39,0.11,8.91,31.71,2515.03,0.09,139.72,0,3,2,0,0
62.0,298.06,0.12,8.63,34.56,2570.73,0.1,142.82,0,2,2,0,0
695.0,5143.61,0.03,38.57,133.35,198396.43,1.71,11022.02,20,119,26,0,0
438.0,3131.59,0.02,40.25,77.8,126046.47,1.04,7002.58,13,50,21,0,0
24.0,100.08,0.13,7.86,12.74,786.33,0.03,43.68,0,1,4,0,0
690.0,4697.07,0.03,36.21,129.72,170066.5,1.57,9448.14,7,39,5,0,0
29.0,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,0
72.0,372.23,0.09,11.63,32.0,4329.68,0.12,240.54,0,9,2,0,0
89.0,452.78,0.09,11.56,39.18,5232.17,0.15,290.68,0,3,5,0,0
156.0,851.67,0.06,17.63,48.31,15014.65,0.28,834.15,2,13,3,0,0
488.0,3442.98,0.04,22.73,151.5,78244.98,1.15,4346.94,12,33,22,0,0
318.0,1980.76,0.05,18.86,105.02,37359.42,0.66,2075.52,6,7,8,0,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,0
153.0,892.43,0.07,14.75,60.5,13163.37,0.3,731.3,3,35,2,0,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,0
21.0,75.28,0.5,2.0,37.64,150.57,0.03,8.36,0,0,0,0,0
25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,0
25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,0
241.0,1472.15,0.06,15.69,93.81,23101.5,0.49,1283.42,0,7,14,0,0
151.0,852.22,0.07,14.68,58.05,12512.17,0.28,695.12,0,6,5,0,0
7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,0
63.0,288.85,0.05,21.0,13.75,6065.91,0.1,336.99,0,0,4,0,0
781.0,5575.99,0.02,46.92,118.83,261640.64,1.86,14535.59,2,65,10,0,0
8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,0
70.0,353.11,0.13,7.71,45.77,2723.97,0.12,151.33,2,18,10,0,0
46.0,179.72,0.19,5.25,34.23,943.51,0.06,52.42,0,0,5,0,0
69.0,298.21,0.06,15.5,19.24,4622.3,0.1,256.79,0,6,5,0,0
13.0,44.97,0.29,3.5,12.85,157.4,0.01,8.74,0,0,0,0,0
37.0,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,0
37.0,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,0
130.0,744.63,0.08,12.04,61.85,8964.95,0.25,498.05,0,39,12,0,0
60.0,300.0,0.11,9.5,31.58,2850.0,0.1,158.33,0,6,0,0,0
105.0,525.0,0.04,23.0,22.83,12075.0,0.18,670.83,6,6,3,0,0
13.0,43.19,0.27,3.75,11.52,161.94,0.01,9.0,0,0,1,0,0
40.0,185.75,0.13,7.64,24.32,1418.49,0.06,78.8,0,5,0,0,0
292.0,1738.63,0.03,33.32,52.18,57931.89,0.58,3218.44,12,20,10,0,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,0
18.0,62.27,0.44,2.29,27.24,142.33,0.02,7.91,0,0,1,0,0
29.0,110.41,0.3,3.33,33.12,368.04,0.04,20.45,0,0,0,0,0
25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,0
418.0,2746.2,0.03,36.57,75.09,100429.38,0.92,5579.41,0,18,24,0,0
625.0,4677.38,0.04,27.21,171.89,127275.78,1.56,7070.88,1,58,6,0,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,0
255.0,1573.33,0.05,18.26,86.16,28729.02,0.52,1596.06,1,19,6,0,0
4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,0
5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,0,0,0
7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,0
9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,4,0,0,0
22.0,73.08,0.47,2.14,34.11,156.61,0.02,8.7,0,0,0,0,0
75.0,396.41,0.09,11.57,34.26,4586.97,0.13,254.83,1,23,0,0,0
49.0,221.65,0.26,3.88,57.09,860.54,0.07,47.81,0,9,1,0,0
155.0,919.26,0.07,13.9,66.12,12780.02,0.31,710.0,4,15,0,0,0
72.0,360.0,0.08,13.24,27.2,4764.71,0.12,264.71,1,0,1,0,0
33.0,144.95,0.09,10.56,13.72,1531.0,0.05,85.06,1,0,4,0,0
210.0,1316.03,0.07,13.88,94.81,18268.21,0.44,1014.9,0,6,1,0,0
8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,0
67.0,328.76,0.09,11.47,28.66,3771.09,0.11,209.5,6,13,1,0,0
87.0,456.57,0.12,8.31,54.96,3793.04,0.15,210.72,0,9,0,0,0
24.0,88.81,0.14,7.2,12.33,639.44,0.03,35.52,0,0,0,0,0
13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,0
67.0,284.61,0.05,19.94,14.28,5674.43,0.09,315.25,1,4,1,0,0
12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,0,3,0,0,0
29.0,116.0,0.09,10.83,10.71,1256.67,0.04,69.81,0,3,0,0,0
4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,0
20.0,74.01,0.29,3.5,21.15,259.02,0.02,14.39,0,0,0,0,0
10.0,31.7,0.33,3.0,10.57,95.1,0.01,5.28,0,3,0,0,0
81.0,421.97,0.09,11.48,36.77,4842.06,0.14,269.0,0,12,1,0,0
100.0,508.75,0.04,25.33,20.08,12888.24,0.17,716.01,0,9,5,0,0
81.0,366.41,0.05,20.22,18.12,7409.59,0.12,411.64,0,2,3,0,0
135.0,675.0,0.04,24.37,27.7,16447.5,0.23,913.75,0,3,4,0,0
466.0,2643.35,0.02,57.0,46.37,150670.96,0.88,8370.61,27,41,67,0,0
76.0,369.21,0.07,15.38,24.0,5680.1,0.12,315.56,7,11,9,0,0
182.0,1005.29,0.05,21.46,46.84,21576.47,0.34,1198.69,9,22,15,0,0
9.0,28.53,0.33,3.0,9.51,85.59,0.01,4.75,1,1,0,0,0
69.0,341.84,0.07,14.06,24.31,4807.12,0.11,267.06,4,0,6,0,0
7.0,18.09,0.4,2.5,7.24,45.24,0.01,2.51,0,0,0,0,0
27.0,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0,0,1,0,0
14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,0
29.0,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,0
41.0,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,0
49.0,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,0
13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,0
7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,0
193.0,1149.16,0.04,25.34,45.35,29117.23,0.38,1617.62,10,22,21,0,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,0
109.0,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,6,10,9,0,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,0
109.0,591.46,0.04,25.89,22.84,15315.78,0.2,850.88,7,10,10,0,0
399.0,2609.12,0.03,31.3,83.37,81653.73,0.87,4536.32,35,31,46,0,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,1,1,2,0,0
100.0,516.99,0.07,15.21,33.99,7863.73,0.17,436.87,8,14,8,0,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,1,7,1,0,0
380.0,2490.74,0.03,34.84,71.49,86774.3,0.83,4820.79,18,28,33,0,0
141.0,734.53,0.06,16.56,44.36,12163.87,0.24,675.77,5,0,10,0,0
94.0,503.61,0.05,19.95,25.24,10047.02,0.17,558.17,11,21,25,0,0
122.0,666.05,0.07,14.44,46.13,9617.77,0.22,534.32,2,13,9,0,0
140.0,801.91,0.07,14.9,53.81,11951.03,0.27,663.95,4,16,20,0,0
28.0,121.01,0.2,5.0,24.2,605.07,0.04,33.61,3,3,3,0,0
140.0,759.68,0.06,15.45,49.18,11735.7,0.25,651.98,2,4,10,0,0
45.0,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,0
45.0,206.32,0.1,9.8,21.05,2021.97,0.07,112.33,5,4,6,0,0
5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,3,3,2,0,0
56.0,266.27,0.12,8.62,30.91,2294.05,0.09,127.45,4,8,7,0,0
97.0,526.35,0.09,11.12,47.35,5850.56,0.18,325.03,3,12,14,0,0
142.0,809.46,0.07,14.56,55.58,11789.43,0.27,654.97,4,18,19,0,0
11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,3,7,0,0
288.0,1810.2,0.04,26.32,68.78,47644.35,0.6,2646.91,21,29,36,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,0
32.0,130.8,0.08,12.0,10.9,1569.59,0.04,87.2,2,2,3,0,0
48.0,207.45,0.08,12.0,17.29,2489.43,0.07,138.3,2,2,3,0,0
93.0,484.48,0.07,13.74,35.27,6655.21,0.16,369.73,14,22,9,0,0
26.0,104.0,0.15,6.67,15.6,693.33,0.03,38.52,4,12,5,0,0
27.0,110.36,0.12,8.25,13.38,910.48,0.04,50.58,3,3,1,0,0
43.0,185.84,0.11,9.17,20.27,1703.56,0.06,94.64,3,3,1,0,0
36.0,147.15,0.07,14.67,10.03,2158.18,0.05,119.9,0,0,5,0,0
486.0,3428.87,0.04,27.25,125.84,93428.15,1.14,5190.45,6,57,49,0,0
750.0,5588.41,0.04,22.99,243.12,128457.87,1.86,7136.55,20,56,77,0,0
50.0,216.1,0.18,5.65,38.22,1221.78,0.07,67.88,0,0,2,0,0
267.0,1619.65,0.05,19.2,84.37,31093.83,0.54,1727.43,1,29,31,0,0
171.0,916.14,0.04,24.18,37.89,22153.96,0.31,1230.78,11,31,34,0,0
87.0,472.09,0.11,9.48,49.79,4476.07,0.16,248.67,11,5,14,0,0
23.0,92.0,0.19,5.14,17.89,473.14,0.03,26.29,2,7,2,0,0
14.0,51.81,0.22,4.5,11.51,233.13,0.02,12.95,2,0,1,0,0
14.0,53.3,0.22,4.5,11.85,239.86,0.02,13.33,3,0,1,0,0
39.0,162.63,0.12,8.13,20.02,1321.34,0.05,73.41,5,0,5,0,0
35.0,143.06,0.15,6.75,21.19,965.66,0.05,53.65,6,0,4,0,0
91.0,474.06,0.05,19.41,24.42,9202.35,0.16,511.24,1,1,5,0,0
37.0,167.37,0.1,10.4,16.09,1740.67,0.06,96.7,0,7,4,0,0
492.0,3289.76,0.02,48.79,67.42,160516.7,1.1,8917.59,6,51,39,0,0
151.0,912.7,0.05,18.53,49.27,16907.83,0.3,939.32,7,6,18,0,0
809.0,5767.59,0.01,73.1,78.9,421634.86,1.92,23424.16,16,37,49,0,0
342.0,2220.21,0.02,46.67,47.58,103609.98,0.74,5756.11,12,25,31,0,0
19.0,76.0,0.22,4.5,16.89,342.0,0.03,19.0,1,0,1,0,0
34.0,146.95,0.2,5.0,29.39,734.73,0.05,40.82,2,5,7,0,0
99.0,507.8,0.12,8.25,61.55,4189.34,0.17,232.74,3,4,6,0,0
133.0,707.82,0.04,24.0,29.49,16987.59,0.24,943.76,7,3,5,0,0
28.0,114.45,0.14,7.14,16.02,817.49,0.04,45.42,0,0,2,0,0
55.0,264.4,0.08,12.0,22.03,3172.85,0.09,176.27,1,0,1,0,0
51.0,239.72,0.11,9.5,25.23,2277.36,0.08,126.52,2,7,7,0,0
47.0,215.49,0.12,8.03,26.81,1732.23,0.07,96.24,0,0,1,0,0
262.0,1626.88,0.03,35.45,45.89,57670.7,0.54,3203.93,5,0,17,0,0
40.0,178.38,0.14,7.22,24.7,1288.28,0.06,71.57,2,1,3,0,0
39.0,173.92,0.14,7.22,24.08,1256.07,0.06,69.78,2,0,3,0,0
68.0,340.0,0.07,13.6,25.0,4624.0,0.11,256.89,1,1,6,0,0
19.0,70.31,0.21,4.8,14.65,337.48,0.02,18.75,0,0,0,0,0
62.0,294.8,0.08,12.5,23.58,3685.04,0.1,204.72,4,0,4,0,0
5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,0,0,0
31.0,124.0,0.16,6.43,19.29,797.14,0.04,44.29,0,0,0,0,0
677.0,4887.38,0.02,64.68,75.56,316115.55,1.63,17561.98,44,76,84,0,0
555.0,3695.31,0.02,48.05,76.91,177559.52,1.23,9864.42,28,6,17,0,0
185.0,1092.77,0.03,29.45,37.1,32187.18,0.36,1788.18,3,8,16,0,0
421.0,2739.78,0.04,27.04,101.31,74089.87,0.91,4116.1,0,14,51,0,0
86.0,454.54,0.09,11.25,40.4,5113.63,0.15,284.09,0,6,6,0,0
37.0,162.52,0.14,7.27,22.35,1181.93,0.05,65.66,0,0,1,0,0
137.0,718.97,0.04,24.29,29.6,17460.6,0.24,970.03,4,3,9,0,0
71.0,337.6,0.08,13.2,25.58,4456.28,0.11,247.57,4,0,5,0,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,3,1,0,0
384.0,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,0
384.0,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,0
366.0,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,0
366.0,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,0
120.0,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,0
120.0,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,0
127.0,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,0
127.0,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,0
405.0,2183.89,0.01,76.87,28.41,167872.07,0.73,9326.23,1,12,6,0,0
581.0,3190.77,0.01,95.66,33.36,305225.84,1.06,16956.99,1,16,9,0,0
241.0,1299.55,0.02,46.0,28.25,59779.23,0.43,3321.07,1,6,7,0,0
312.0,1905.86,0.03,38.79,49.14,73923.53,0.64,4106.85,3,8,6,0,0
228.0,1252.14,0.04,27.04,46.31,33856.01,0.42,1880.89,0,8,5,0,0
114.0,602.54,0.05,22.11,27.26,13319.21,0.2,739.96,10,22,6,0,0
247.0,1453.01,0.04,23.68,61.36,34405.27,0.48,1911.4,0,21,15,0,0
279.0,1758.75,0.04,24.77,71.01,43561.75,0.59,2420.1,25,13,40,0,0
74.0,355.74,0.09,11.65,30.54,4143.37,0.12,230.19,0,0,9,0,0
97.0,480.56,0.04,22.46,21.39,10795.37,0.16,599.74,0,15,16,0,0
696.0,5219.89,0.03,37.2,140.31,194194.61,1.74,10788.59,6,100,82,0,0
21.0,75.28,0.14,7.0,10.75,526.99,0.03,29.28,0,0,1,0,0
342.0,2203.49,0.03,28.98,76.03,63864.99,0.73,3548.06,5,26,34,0,0
130.0,744.63,0.06,16.36,45.51,12184.85,0.25,676.94,9,31,22,0,0
70.0,364.66,0.1,10.29,35.45,3750.81,0.12,208.38,0,12,9,0,0
7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,0,0,2,0,0
46.0,218.72,0.07,13.82,15.83,3022.38,0.07,167.91,3,4,12,0,0
133.0,768.92,0.05,19.35,39.73,14882.34,0.26,826.8,4,21,14,0,0
372.0,2414.97,0.02,41.38,58.36,99929.77,0.8,5551.65,5,70,38,0,0
187.0,1130.3,0.05,21.71,52.05,24543.69,0.38,1363.54,4,58,39,0,0
7.0,18.09,0.5,2.0,9.05,36.19,0.01,2.0,1,0,2,0,0
104.0,567.78,0.06,17.86,31.79,10140.57,0.19,563.36,4,16,19,0,0
24.0,103.73,0.2,5.0,20.75,518.63,0.03,28.81,0,0,1,0,0
74.0,366.61,0.1,9.75,37.6,3574.45,0.12,198.58,9,7,13,0,0
11.0,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,0,0,0,0
11.0,36.54,0.29,3.5,10.44,127.89,0.01,7.11,0,0,0,0,0
11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,0
11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,0
57.0,261.33,0.09,10.58,24.71,2764.2,0.09,153.57,0,0,3,0,0
23.0,87.57,0.19,5.4,16.21,472.87,0.03,26.27,1,6,6,0,0
