Halstead_d,Halstead_e,Halstead_i,Halstead_n,Halstead_t,Halstead_v,McCabe_loc,McCabe_v(g),total_Op,uniq_Opnd,defects
3.88,860.54,57.09,49.0,47.81,221.65,17.0,1.0,27.0,17.0,0
13.9,12780.02,66.12,155.0,710.0,919.26,60.0,13.0,98.0,41.0,0
13.24,4764.71,27.2,72.0,264.71,360.0,32.0,5.0,42.0,17.0,0
10.56,1531.0,13.72,33.0,85.06,144.95,16.0,3.0,20.0,8.0,0
13.88,18268.21,94.81,210.0,1014.9,1316.03,42.0,2.0,119.0,59.0,0
2.0,44.92,11.23,8.0,2.5,22.46,6.0,1.0,5.0,3.0,0
11.47,3771.09,28.66,67.0,209.5,328.76,14.0,2.0,37.0,17.0,0
8.31,3793.04,54.96,87.0,210.72,456.57,27.0,3.0,51.0,26.0,0
7.2,639.44,12.33,24.0,35.52,88.81,8.0,1.0,15.0,5.0,0
3.0,117.0,13.0,13.0,6.5,39.0,7.0,1.0,7.0,4.0,0
19.94,5674.43,14.28,67.0,315.25,284.61,31.0,5.0,38.0,8.0,0
4.67,186.03,8.54,12.0,10.33,39.86,8.0,1.0,8.0,3.0,0
10.83,1256.67,10.71,29.0,69.81,116.0,11.0,1.0,16.0,6.0,0
1.5,12.0,5.33,4.0,0.67,8.0,6.0,1.0,3.0,1.0,0
3.5,259.02,21.15,20.0,14.39,74.01,13.0,2.0,14.0,6.0,0
3.0,95.1,10.57,10.0,5.28,31.7,6.0,1.0,7.0,3.0,0
11.48,4842.06,36.77,81.0,269.0,421.97,22.0,2.0,54.0,20.0,0
25.33,12888.24,20.08,100.0,716.01,508.75,29.0,7.0,60.0,15.0,0
20.22,7409.59,18.12,81.0,411.64,366.41,9.0,1.0,55.0,9.0,0
24.37,16447.5,27.7,135.0,913.75,675.0,16.0,4.0,92.0,15.0,0
57.0,150670.96,46.37,466.0,8370.61,2643.35,92.0,15.0,274.0,32.0,0
15.38,5680.1,24.0,76.0,315.56,369.21,18.0,4.0,51.0,13.0,0
21.46,21576.47,46.84,182.0,1198.69,1005.29,36.0,6.0,121.0,27.0,0
3.0,85.59,9.51,9.0,4.75,28.53,5.0,1.0,6.0,3.0,0
14.06,4807.12,24.31,69.0,267.06,341.84,22.0,3.0,39.0,16.0,0
2.5,45.24,7.24,7.0,2.51,18.09,3.0,1.0,6.0,1.0,0
12.0,1265.83,8.79,27.0,70.32,105.49,7.0,2.0,15.0,5.0,0
4.38,211.89,11.07,14.0,11.77,48.43,3.0,1.0,9.0,4.0,0
4.88,538.26,22.65,29.0,29.9,110.41,7.0,1.0,16.0,8.0,0
14.14,2417.96,12.09,41.0,134.33,170.97,9.0,3.0,23.0,7.0,0
14.67,3156.61,14.67,49.0,175.37,215.22,11.0,3.0,27.0,9.0,0
3.0,117.0,13.0,13.0,6.5,39.0,4.0,1.0,7.0,4.0,0
2.5,49.13,7.86,7.0,2.73,19.65,3.0,1.0,5.0,2.0,0
25.34,29117.23,45.35,193.0,1617.62,1149.16,30.0,4.0,118.0,37.0,0
1.5,17.41,7.74,5.0,0.97,11.61,5.0,1.0,3.0,2.0,0
25.89,15315.78,22.84,109.0,850.88,591.46,16.0,4.0,68.0,19.0,0
1.5,17.41,7.74,5.0,0.97,11.61,5.0,1.0,3.0,2.0,0
25.89,15315.78,22.84,109.0,850.88,591.46,15.0,4.0,68.0,19.0,0
31.3,81653.73,83.37,399.0,4536.32,2609.12,40.0,10.0,246.0,66.0,0
1.5,17.41,7.74,5.0,0.97,11.61,5.0,1.0,3.0,2.0,0
1.5,17.41,7.74,5.0,0.97,11.61,5.0,1.0,3.0,2.0,0
15.21,7863.73,33.99,100.0,436.87,516.99,12.0,2.0,66.0,19.0,0
2.0,31.02,7.75,6.0,1.72,15.51,5.0,1.0,4.0,2.0,0
34.84,86774.3,71.49,380.0,4820.79,2490.74,44.0,6.0,245.0,62.0,0
16.56,12163.87,44.36,141.0,675.77,734.53,31.0,5.0,72.0,25.0,0
19.95,10047.02,25.24,94.0,558.17,503.61,22.0,6.0,56.0,20.0,0
14.44,9617.77,46.13,122.0,534.32,666.05,20.0,4.0,84.0,25.0,0
14.9,11951.03,53.81,140.0,663.95,801.91,27.0,6.0,98.0,31.0,0
5.0,605.07,24.2,28.0,33.61,121.01,6.0,1.0,18.0,10.0,0
15.45,11735.7,49.18,140.0,651.98,759.68,25.0,2.0,76.0,29.0,0
9.8,2021.97,21.05,45.0,112.33,206.32,10.0,2.0,31.0,10.0,0
9.8,2021.97,21.05,45.0,112.33,206.32,10.0,2.0,31.0,10.0,0
2.0,23.22,5.8,5.0,1.29,11.61,5.0,1.0,4.0,1.0,0
8.62,2294.05,30.91,56.0,127.45,266.27,14.0,3.0,40.0,13.0,0
11.12,5850.56,47.35,97.0,325.03,526.35,20.0,4.0,63.0,26.0,0
14.56,11789.43,55.58,142.0,654.97,809.46,28.0,7.0,99.0,31.0,0
3.5,122.04,9.96,11.0,6.78,34.87,3.0,1.0,9.0,2.0,0
26.32,47644.35,68.78,288.0,2646.91,1810.2,45.0,12.0,194.0,50.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
6.19,632.28,16.52,25.0,35.13,102.19,7.0,2.0,14.0,8.0,0
12.0,1569.59,10.9,32.0,87.2,130.8,11.0,2.0,22.0,5.0,0
12.0,2489.43,17.29,48.0,138.3,207.45,11.0,2.0,32.0,8.0,0
13.74,6655.21,35.27,93.0,369.73,484.48,27.0,8.0,64.0,19.0,0
6.67,693.33,15.6,26.0,38.52,104.0,10.0,2.0,18.0,6.0,0
8.25,910.48,13.38,27.0,50.58,110.36,9.0,2.0,18.0,6.0,0
9.17,1703.56,20.27,43.0,94.64,185.84,9.0,2.0,28.0,9.0,0
14.67,2158.18,10.03,36.0,119.9,147.15,20.0,3.0,20.0,6.0,0
27.25,93428.15,125.84,486.0,5190.45,3428.87,98.0,10.0,314.0,101.0,0
22.99,128457.87,243.12,750.0,7136.55,5588.41,172.0,25.0,498.0,148.0,0
5.65,1221.78,38.22,50.0,67.88,216.1,6.0,1.0,29.0,13.0,0
19.2,31093.83,84.37,267.0,1727.43,1619.65,43.0,4.0,170.0,48.0,0
24.18,22153.96,37.89,171.0,1230.78,916.14,36.0,2.0,115.0,22.0,0
9.48,4476.07,49.79,87.0,248.67,472.09,21.0,4.0,55.0,27.0,0
5.14,473.14,17.89,23.0,26.29,92.0,6.0,1.0,15.0,7.0,0
4.5,233.13,11.51,14.0,12.95,51.81,5.0,1.0,10.0,4.0,0
4.5,239.86,11.85,14.0,13.33,53.3,5.0,1.0,9.0,5.0,0
8.13,1321.34,20.02,39.0,73.41,162.63,8.0,1.0,26.0,8.0,0
6.75,965.66,21.19,35.0,53.65,143.06,6.0,1.0,23.0,8.0,0
19.41,9202.35,24.42,91.0,511.24,474.06,16.0,4.0,58.0,17.0,0
10.4,1740.67,16.09,37.0,96.7,167.37,14.0,3.0,21.0,10.0,0
48.79,160516.7,67.42,492.0,8917.59,3289.76,88.0,19.0,285.0,70.0,0
18.53,16907.83,49.27,151.0,939.32,912.7,29.0,4.0,94.0,40.0,0
73.1,421634.86,78.9,809.0,23424.16,5767.59,60.0,21.0,490.0,96.0,0
46.67,103609.98,47.58,342.0,5756.11,2220.21,52.0,10.0,202.0,54.0,0
4.5,342.0,16.89,19.0,19.0,76.0,7.0,1.0,10.0,8.0,0
5.0,734.73,29.39,34.0,40.82,146.95,8.0,1.0,19.0,12.0,0
8.25,4189.34,61.55,99.0,232.74,507.8,20.0,1.0,63.0,24.0,0
24.0,16987.59,29.49,133.0,943.76,707.82,29.0,6.0,85.0,20.0,0
7.14,817.49,16.02,28.0,45.42,114.45,9.0,1.0,18.0,7.0,0
12.0,3172.85,22.03,55.0,176.27,264.4,15.0,4.0,37.0,12.0,0
9.5,2277.36,25.23,51.0,126.52,239.72,14.0,2.0,32.0,13.0,0
8.03,1732.23,26.81,47.0,96.24,215.49,22.0,3.0,28.0,13.0,0
35.45,57670.7,45.89,262.0,3203.93,1626.88,63.0,15.0,183.0,39.0,0
7.22,1288.28,24.7,40.0,71.57,178.38,9.0,2.0,30.0,9.0,0
7.22,1256.07,24.08,39.0,69.78,173.92,9.0,2.0,29.0,9.0,0
13.6,4624.0,25.0,68.0,256.89,340.0,17.0,4.0,44.0,15.0,0
4.8,337.48,14.65,19.0,18.75,70.31,9.0,3.0,13.0,5.0,0
12.5,3685.04,23.58,62.0,204.72,294.8,10.0,2.0,42.0,12.0,0
2.0,23.22,5.8,5.0,1.29,11.61,3.0,1.0,4.0,1.0,0
6.43,797.14,19.29,31.0,44.29,124.0,9.0,5.0,21.0,7.0,0
64.68,316115.55,75.56,677.0,17561.98,4887.38,101.0,19.0,413.0,100.0,0
48.05,177559.52,76.91,555.0,9864.42,3695.31,29.0,8.0,338.0,70.0,0
29.45,32187.18,37.1,185.0,1788.18,1092.77,22.0,6.0,113.0,33.0,0
27.04,74089.87,101.31,421.0,4116.1,2739.78,106.0,13.0,229.0,71.0,0
11.25,5113.63,40.4,86.0,284.09,454.54,21.0,3.0,50.0,24.0,0
7.27,1181.93,22.35,37.0,65.66,162.52,10.0,2.0,21.0,11.0,0
24.29,17460.6,29.6,137.0,970.03,718.97,17.0,3.0,77.0,21.0,0
13.2,4456.28,25.58,71.0,247.57,337.6,13.0,3.0,38.0,15.0,0
1.5,17.41,7.74,5.0,0.97,11.61,4.0,1.0,3.0,2.0,0
55.62,128629.96,41.58,384.0,7146.11,2312.59,49.0,13.0,237.0,37.0,0
55.62,128629.96,41.58,384.0,7146.11,2312.59,49.0,13.0,237.0,37.0,0
49.74,113051.62,45.69,366.0,6280.65,2272.66,55.0,14.0,228.0,43.0,0
49.74,113051.62,45.69,366.0,6280.65,2272.66,55.0,14.0,228.0,43.0,0
23.47,14560.94,26.43,120.0,808.94,620.39,17.0,5.0,78.0,17.0,0
23.47,14560.94,26.43,120.0,808.94,620.39,17.0,5.0,78.0,17.0,0
23.16,15544.65,28.99,127.0,863.59,671.25,20.0,5.0,83.0,19.0,0
23.16,15544.65,28.99,127.0,863.59,671.25,20.0,5.0,83.0,19.0,0
76.87,167872.07,28.41,405.0,9326.23,2183.89,30.0,9.0,278.0,19.0,0
95.66,305225.84,33.36,581.0,16956.99,3190.77,45.0,15.0,398.0,22.0,0
46.0,59779.23,28.25,241.0,3321.07,1299.55,20.0,6.0,165.0,19.0,0
38.79,73923.53,49.14,312.0,4106.85,1905.86,41.0,10.0,205.0,40.0,0
27.04,33856.01,46.31,228.0,1880.89,1252.14,25.0,8.0,154.0,26.0,0
22.11,13319.21,27.26,114.0,739.96,602.54,22.0,5.0,72.0,19.0,0
23.68,34405.27,61.36,247.0,1911.4,1453.01,41.0,4.0,130.0,42.0,0
24.77,43561.75,71.01,279.0,2420.1,1758.75,48.0,6.0,172.0,54.0,0
11.65,4143.37,30.54,74.0,230.19,355.74,24.0,9.0,38.0,17.0,0
22.46,10795.37,21.39,97.0,599.74,480.56,25.0,4.0,60.0,14.0,0
37.2,194194.61,140.31,696.0,10788.59,5219.89,176.0,23.0,416.0,143.0,0
7.0,526.99,10.75,21.0,29.28,75.28,10.0,2.0,14.0,4.0,0
28.98,63864.99,76.03,342.0,3548.06,2203.49,66.0,9.0,206.0,61.0,0
16.36,12184.85,45.51,130.0,676.94,744.63,32.0,4.0,76.0,33.0,0
10.29,3750.81,35.45,70.0,208.38,364.66,18.0,2.0,43.0,21.0,0
2.0,39.3,9.83,7.0,2.18,19.65,3.0,1.0,4.0,3.0,0
13.82,3022.38,15.83,46.0,167.91,218.72,14.0,3.0,27.0,11.0,0
19.35,14882.34,39.73,133.0,826.8,768.92,29.0,4.0,83.0,31.0,0
41.38,99929.77,58.36,372.0,5551.65,2414.97,104.0,18.0,222.0,58.0,0
21.71,24543.69,52.05,187.0,1363.54,1130.3,68.0,12.0,111.0,42.0,0
2.0,36.19,9.05,7.0,2.0,18.09,7.0,1.0,5.0,2.0,0
17.86,10140.57,31.79,104.0,563.36,567.78,21.0,4.0,57.0,25.0,0
5.0,518.63,20.75,24.0,28.81,103.73,10.0,2.0,14.0,10.0,0
9.75,3574.45,37.6,74.0,198.58,366.61,19.0,3.0,47.0,18.0,0
3.5,122.04,9.96,11.0,6.78,34.87,7.0,1.0,9.0,2.0,0
3.5,127.89,10.44,11.0,7.11,36.54,8.0,1.0,8.0,3.0,0
3.0,109.62,12.18,11.0,6.09,36.54,8.0,1.0,7.0,4.0,0
3.0,109.62,12.18,11.0,6.09,36.54,8.0,1.0,7.0,4.0,0
10.58,2764.2,24.71,57.0,153.57,261.33,19.0,2.0,32.0,13.0,0
5.4,472.87,16.21,23.0,26.27,87.57,10.0,2.0,17.0,5.0,0
6.25,971.37,24.87,42.0,53.96,155.42,11.0,1.0,22.0,8.0,0
